 ,Area,Angle,Length
1,2.563E-4,33.341,0.107
2,2.017E-4,-91.591,0.083
3,2.072E-4,-15.945,0.086
4,1.908E-4,-67.891,0.080
5,2.017E-4,58.496,0.084
6,1.963E-4,-67.011,0.083
7,1.908E-4,-120.379,0.079
8,2.017E-4,65.556,0.084
9,2.290E-4,-4.185,0.096
10,1.908E-4,157.891,0.079
11,2.127E-4,15.124,0.089
12,2.072E-4,-118.610,0.087
13,1.963E-4,-101.634,0.081
14,1.963E-4,46.169,0.081
15,2.017E-4,-26.565,0.084
16,2.017E-4,-15.945,0.085
17,1.908E-4,-1.685,0.079
18,2.017E-4,-1.591,0.084
19,2.072E-4,-176.906,0.087
20,2.181E-4,2.936,0.091
21,2.127E-4,13.671,0.089
22,2.072E-4,133.919,0.088
23,1.799E-4,139.970,0.075
24,2.508E-4,-70.346,0.104
