 ,Area,Angle,Length
1,1.580E-4,-36.119,0.085
2,1.883E-4,-57.771,0.100
3,1.546E-4,-45.909,0.083
4,2.420E-4,-94.028,0.130
5,1.983E-4,-165.964,0.106
6,2.992E-4,-57.031,0.162
7,1.950E-4,7.001,0.105
8,2.454E-4,-12.095,0.131
9,1.983E-4,-41.468,0.106
10,2.017E-4,-73.113,0.108
11,1.950E-4,-108.435,0.104
12,1.311E-4,-74.476,0.069
13,1.983E-4,-47.121,0.106
14,1.715E-4,-116.053,0.092
15,2.790E-4,176.511,0.151
16,2.958E-4,-15.945,0.160
17,3.664E-4,133.493,0.198
18,1.446E-4,-95.440,0.077
19,1.916E-4,2.083,0.102
20,1.916E-4,53.746,0.103
21,1.681E-4,-104.036,0.090
22,1.748E-4,120.579,0.093
23,1.647E-4,-55.981,0.088
24,3.295E-4,166.251,0.177
25,2.118E-4,114.905,0.114
26,3.900E-4,-3.483,0.211
27,1.849E-4,-17.103,0.099
28,2.622E-4,21.523,0.141
29,2.185E-4,122.196,0.117
30,1.983E-4,21.251,0.107
31,1.580E-4,-46.790,0.084
32,2.656E-4,-55.491,0.142
33,2.824E-4,19.093,0.152
34,2.790E-4,-142.431,0.150
35,3.597E-4,-31.149,0.195
36,1.345E-4,-115.907,0.071
37,3.832E-4,112.932,0.208
38,2.152E-4,49.497,0.116
39,1.681E-4,87.663,0.089
40,1.546E-4,70.346,0.082
41,2.589E-4,-67.496,0.139
42,2.790E-4,97.038,0.150
43,1.479E-4,70.710,0.078
44,2.152E-4,3.633,0.115
45,2.118E-4,-14.036,0.114
46,2.790E-4,-59.394,0.150
47,2.152E-4,-29.407,0.116
48,2.454E-4,103.650,0.131
49,2.589E-4,99.834,0.139
50,2.723E-4,-27.860,0.146
51,2.589E-4,-60.068,0.139
52,2.252E-4,-176.532,0.121
53,2.589E-4,-175.486,0.139
54,1.849E-4,12.758,0.100
55,3.059E-4,-96.340,0.165
56,1.244E-4,-59.859,0.065
57,1.883E-4,-44.256,0.100
58,1.748E-4,-113.051,0.093
