Ptreatment,term,estimate,std.error,statistic,p.value,conf.low,conf.high,rate,P
Nutrient limited_consumers absent,inverse_temp,-0.936022278184858,0.385101507398739,-2.43058585905687,0.033375025578029,-1.7836249810984,-0.0884195752713141,resource max abundance,NA
Nutrient limited_consumers present,inverse_temp,0.658488504522785,0.342772750167684,1.92106433256627,0.0677756607497495,-0.0523786704613699,1.36935567950694,resource max abundance,NA
Nutrient replete_consumers absent,inverse_temp,-1.73719174226933,0.234127584208284,-7.41985079692231,1.32641372455447e-05,-2.25250308067987,-1.22188040385879,resource max abundance,NA
Nutrient replete_consumers present,inverse_temp,0.127045833925463,0.347265855903945,0.365846027663037,0.717974304092572,-0.593139472036369,0.847231139887294,resource max abundance,NA
High P_grazed,inverse_temp,-0.199119544003306,0.311069418395404,-0.640112888725701,0.528710081197014,-0.844238033062103,0.445998945055492,resource growth rate,NA
High P_ungrazed,inverse_temp,-1.27325634990532,0.290404894737522,-4.38441766298787,0.00109107025551478,-1.91243321364058,-0.634079486170064,resource growth rate,NA
Low P_grazed,inverse_temp,-0.245394138470509,0.453178188518642,-0.541495916369361,0.593607803752964,-1.18522817860085,0.694439901659835,resource growth rate,NA
Low P_ungrazed,inverse_temp,-0.739042817559198,0.256336076443343,-2.88310107501605,0.0148884608528549,-1.30323471780711,-0.174850917311284,resource growth rate,NA
High phosphorus,inverse_temp,-0.7114566,NA,NA,NA,-0.9710273,-0.4518859,daphnia metabolic rate,NA
NA,inverse_temp,-1.27720175426302,0.241605744246393,-5.28630541565483,2.64128879102413e-05,-1.77826140030652,-0.77614210821952,consumer max abundance,Nutrient limited
NA,inverse_temp,-1.5192977673507,0.244587821451784,-6.21166564358238,2.98269487227107e-06,-2.02654186299688,-1.01205367170453,consumer max abundance,Nutrient replete
NA,inverse_temp,-1.05785755529571,0.267029649222423,-3.9615733997185,0.000662345882822395,-1.61164315314996,-0.50407195744147,consumer population growth rate,DEF
NA,inverse_temp,-1.4023047593552,0.374641321606439,-3.74305950380008,0.00112633109056784,-2.17926330635877,-0.62534621235164,consumer population growth rate,FULL
NA,inverse_temp,-2.21340325292263,0.395677339989108,-5.59396010138857,1.26699745648941e-05,-3.03398783190595,-1.39281867393932,consumer final abundance,Nutrient limited
NA,inverse_temp,-1.85187875037049,0.255269296863063,-7.25460826322533,3.80700447847509e-07,-2.38274031426082,-1.32101718648017,consumer final abundance,Nutrient replete
