temp,P,replicate,max,mean,std.error,consumer
12,DEF,C1,344929576.32,84701747.90444444,37326603.296556376,absent
12,DEF,C2,158707772.16,64784528.09625,18928154.14851807,absent
12,DEF,C3,214570879.2,58588173.7125,23696778.476671584,absent
12,DEF,C4,331889013.92,91027128.49625,37649786.77174015,absent
12,FULL,C1,262604238.6,66118512.997777775,28046365.35063374,absent
12,FULL,C2,154760056.5,61644019.555,19776252.624461424,absent
12,FULL,C3,118747471.7,54419448.66125,15337988.040790634,absent
12,FULL,C4,120369467.4,57267199.94375,12073803.489213526,absent
16,DEF,C1,91851551.48,38691765.252500005,11290330.490741694,absent
16,DEF,C2,70314257.4,35269135.035,8704687.50302223,absent
16,DEF,C3,95367063.2,58427525.08285715,12399759.145875365,absent
16,FULL,C1,509072380.7,102975106.25125,58925361.61191755,absent
16,FULL,C2,180203742.24,72824563.06875,19451486.179301172,absent
16,FULL,C3,353163010.08,115123191.08500001,40300818.30818863,absent
20,DEF,C1,1573090770.15,266305360.67857143,218683766.0828629,absent
20,DEF,C2,861817349.61,170765403.56142858,117180395.03496362,absent
20,DEF,C3,1190299516.8,199078799.29,165466824.22005618,absent
20,FULL,C1,2477267104.42,435173578.06,344747336.8275288,absent
20,FULL,C2,1984375255.98,342783108.0714286,276290740.5682925,absent
20,FULL,C3,2129907566.25,377537035.84,295734663.535615,absent
24,DEF,C1,857802366.84,145233181.04857144,118993467.82003957,absent
24,DEF,C2,469648552.51,78102858.37714286,65376583.55860168,absent
24,DEF,C3,709165323.3,120085839.57857142,98418241.69168621,absent
24,FULL,C1,2160820518.48,409663360.61714286,300153945.0098101,absent
24,FULL,C2,1885431330.5,332744794.62857145,263323447.89822027,absent
24,FULL,C3,1731635060.49,299331655.6528571,242417005.5164111,absent
12,DEF,1,120807299.96,39285952.47777778,14698110.351495355,present
12,DEF,2,168283514.7,48360842.384444445,18908183.13202455,present
12,DEF,3,50137045.83,20032466.573333334,4619164.72870095,present
12,DEF,4,256744325.76,62323054.94625,31170238.968145646,present
12,DEF,5,178754824.82,40572762.26444444,18181372.15033676,present
12,DEF,6,237644320.25,48675670.42888889,24630547.890914354,present
12,FULL,1,126731222.82,37997060.05888889,13808931.838164195,present
12,FULL,2,44354515.17,26794044.79,5639379.406744604,present
12,FULL,3,78201817.0,33724029.75444444,9679144.72388065,present
12,FULL,4,127711269.57,37524908.35555556,15399660.18682965,present
12,FULL,5,73935794.2,26491094.64,8202970.98751698,present
12,FULL,6,101522459.04,31486383.26,10621314.39984683,present
16,DEF,1,215310786.93,49134105.58444445,22704232.80388452,present
16,DEF,2,631289392.72,95018829.94666667,67953509.05763571,present
16,DEF,3,101724558.96,27985184.56,9898159.118788308,present
16,DEF,4,139175562.46,31209925.781111114,15155748.81544254,present
16,DEF,5,231246602.73,44991705.41444445,24428786.883425593,present
16,DEF,6,219773924.16,45677868.53666667,22649397.095076915,present
16,FULL,1,427256500.14,74889161.24666667,45515326.499305464,present
16,FULL,2,475581388.33,103625410.17666666,49450324.41251817,present
16,FULL,3,127409842.62,29174139.365555555,13038386.454607727,present
16,FULL,4,116306268.0,24124070.86,12633803.911504434,present
16,FULL,5,72498159.58,21136650.115555555,8887695.936183712,present
16,FULL,6,95974400.54,43485154.43,13313990.839457424,present
20,DEF,1,1459401875.75,247434330.2522222,154599313.01592717,present
20,DEF,2,276587285.45,60111469.19222222,29256530.489629824,present
20,DEF,3,256019231.16,79415115.77444445,30480802.752316985,present
20,DEF,4,243739513.12,55120669.37777778,24829548.17533705,present
20,DEF,5,620014689.14,83227363.09222221,67305120.35201247,present
20,DEF,6,481755136.82,98076252.53444444,52761291.16463766,present
20,FULL,1,883606009.52,127097046.51222222,95332304.35234956,present
20,FULL,2,1264592803.81,356688984.7644444,148509970.48931167,present
20,FULL,3,209134565.6,76130919.48777778,25157414.924178924,present
20,FULL,4,610439281.98,124929434.09555556,62414146.99260473,present
20,FULL,5,272584587.15,98068523.92444444,32768344.784919266,present
20,FULL,6,145208805.42,57071935.74125,20705147.9250725,present
24,DEF,1,28377444.8,11754512.996666666,3517708.594499767,present
24,DEF,2,30951560.26,15442953.465555556,4382309.410422995,present
24,DEF,3,27831587.68,9743559.063333333,3326774.9648421644,present
24,DEF,4,47070305.73,12722659.804444443,5991659.664371584,present
24,DEF,5,36474218.14,8890517.623333333,3939823.638373556,present
24,DEF,6,39018490.84,9447596.585,4774786.524263576,present
24,FULL,1,39320933.2,12483288.384444445,4554396.448245511,present
24,FULL,2,29397917.42,11785010.164444445,3259215.712613842,present
24,FULL,3,100739943.0,19332699.56111111,10884203.061662288,present
24,FULL,4,66598550.48,18923690.304444443,7214997.623081257,present
24,FULL,5,44104202.28,11693073.808888888,4474525.048013459,present
24,FULL,6,40664121.96,13040846.484444445,5039453.941203426,present
