ID,Phosphorus,temp,transformedtemp,r,K
50,DEF,12,-40.6835983666349,0.26914303440165743,139141674.83600017
52,DEF,12,-40.6835983666349,0.6358440778644713,80328584.4155071
53,DEF,12,-40.6835983666349,0.4105306391238043,76183303.24551338
55,FULL,12,-40.6835983666349,0.30667131368758016,102360675.52865614
56,FULL,12,-40.6835983666349,0.2730576664565753,89939702.18157554
58,DEF,16,-40.120795691668484,0.3739324817633577,44904247.695632994
59,DEF,16,-40.120795691668484,0.6625646111809131,70944170.34732117
60,FULL,16,-40.120795691668484,0.15,1218257660.4353309
61,FULL,16,-40.120795691668484,0.6403155635130509,94712243.90595074
62,FULL,16,-40.120795691668484,0.6852462450851609,150442379.86925313
63,DEF,20,-39.573351779791714,0.18045802157141688,1e11
64,DEF,20,-39.573351779791714,0.15808915399075948,1e11
65,DEF,20,-39.573351779791714,0.16944880729848807,1e11
66,FULL,20,-39.573351779791714,0.2007559395488188,1e11
67,FULL,20,-39.573351779791714,0.19378440376502276,1e11
68,FULL,20,-39.573351779791714,0.19476951222371608,1e11
69,DEF,24,-39.040646388174125,0.15412650924458718,1e11
70,DEF,24,-39.040646388174125,0.15,1710946447.5867224
71,DEF,24,-39.040646388174125,0.15116310881991624,1e11
72,FULL,24,-39.040646388174125,0.19796659908903178,12427833544.765602
73,FULL,24,-39.040646388174125,0.19135474027362723,1e11
74,FULL,24,-39.040646388174125,0.18905188144177654,1e11
