List File,51-DEF-12-C1-APRIL2-R8.lst
Start Time,2016-04-02  12:53:01
Sampling Time,1 min 39 sec

Count,540
Particles / ml,13352

Efficiency,16.4%
PPUI,1.24

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),68.95,19.60,365.56,33.83,49.06
Aspect Ratio,0.84,0.47,0.99,0.09,10.41
Circle Fit,0.75,0.32,0.93,0.11,14.40
Circularity (Hu),0.93,0.20,1.00,0.06,6.53
Compactness,1.79,1.03,7.12,0.80,44.45
Diameter (ABD),9.15,5.00,21.57,2.03,22.18
Diameter (ESD),10.60,5.50,26.71,2.51,23.68
Elongation,3.21,1.00,20.33,2.65,82.64
Geodesic Aspect Ratio,0.47,0.05,1.00,0.28,59.00
Geodesic Length,17.86,6.21,68.38,8.77,49.10
Geodesic Thickness,6.59,1.68,13.19,1.81,27.41
Intensity,127.38,65.20,196.81,16.21,12.73
Length,11.84,6.22,30.40,2.92,24.67
Perimeter,48.91,24.85,145.25,15.93,32.58
Roughness,1.25,1.04,2.15,0.20,15.78
Sigma Intensity,36.99,4.83,53.66,7.35,19.86
Sum Intensity,46528.20,13170.00,2.31e+005,21684.48,46.61
Transparency,0.13,0.04,0.59,0.05,35.22
Volume (ABD),465.13,65.29,5257.84,408.33,87.79
Width,9.12,4.55,20.03,2.15,23.60

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,2,0.37,0.06,49,0.00
6-7um,21,3.89,0.86,519,0.05
7-8um,45,8.33,2.63,1113,0.16
8-9um,70,12.96,6.43,1731,0.40
0-5um,0,0.00,0.00,0.00,0.00
5-10um,222,41.11,20.18,5489,1.25
10-15um,290,53.70,62.28,7171,3.87
15-20um,20,3.70,11.17,495,0.69
20-25um,3,0.56,3.54,74,0.22
25-30um,1,0.19,2.09,25,0.13
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,83,15.37,10.09,2052,0.63
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

