List File,54-FULL-12-C1-APRIL2-R1.lst
Start Time,2016-04-02  13:01:32
Sampling Time,1 min 45 sec

Count,631
Particles / ml,14619

Efficiency,16.4%
PPUI,1.26

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),70.58,20.42,505.55,33.54,47.53
Aspect Ratio,0.84,0.38,1.00,0.09,11.21
Circle Fit,0.75,0.09,0.93,0.11,14.20
Circularity (Hu),0.93,0.27,1.00,0.06,6.34
Compactness,1.78,1.02,7.52,0.73,41.08
Diameter (ABD),9.27,5.10,25.37,1.96,21.18
Diameter (ESD),10.73,5.89,31.73,2.39,22.31
Elongation,3.17,1.00,21.58,2.44,77.22
Geodesic Aspect Ratio,0.47,0.05,1.00,0.28,59.34
Geodesic Length,17.96,6.44,75.22,8.23,45.82
Geodesic Thickness,6.66,1.93,13.21,1.85,27.83
Intensity,127.73,87.47,202.04,14.57,11.41
Length,11.99,6.52,36.17,2.80,23.38
Perimeter,49.25,25.76,166.86,14.82,30.10
Roughness,1.26,1.04,2.23,0.19,14.73
Sigma Intensity,37.93,4.62,53.59,7.15,18.86
Sum Intensity,47271.65,16707.00,3.22e+005,20768.91,43.94
Transparency,0.13,0.04,0.55,0.05,35.27
Volume (ABD),478.91,69.42,8550.95,440.14,91.90
Width,9.22,3.79,26.40,2.03,22.01

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,3,0.48,0.08,70,0.01
6-7um,14,2.22,0.44,324,0.03
7-8um,33,5.23,1.82,765,0.13
8-9um,89,14.10,6.33,2062,0.44
0-5um,0,0.00,0.00,0.00,0.00
5-10um,262,41.52,20.93,6070,1.47
10-15um,338,53.57,63.51,7831,4.45
15-20um,30,4.75,12.73,695,0.89
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,1,0.16,2.83,23,0.20
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,122,19.33,12.17,2826,0.85
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

