List File,34-APRIL5-R1.lst
Start Time,2016-04-05  09:48:25
Sampling Time,2 min 8 sec

Count,1036
Particles / ml,19823

Efficiency,16.4%
PPUI,1.46

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),64.64,19.60,799.73,85.51,132.29
Aspect Ratio,0.81,0.29,1.00,0.14,17.89
Circle Fit,0.76,0.00,0.95,0.17,21.88
Circularity (Hu),0.92,0.41,1.00,0.11,11.82
Compactness,1.51,1.00,7.58,0.68,45.14
Diameter (ABD),8.29,5.00,31.91,3.68,44.39
Diameter (ESD),9.60,5.37,38.63,4.63,48.27
Elongation,2.31,1.00,21.77,2.23,96.56
Geodesic Aspect Ratio,0.68,0.05,1.00,0.33,48.81
Geodesic Length,13.96,5.89,111.78,11.21,80.30
Geodesic Thickness,7.11,1.98,16.70,2.14,30.07
Intensity,146.80,93.62,202.97,20.63,14.05
Length,10.97,5.58,49.99,5.74,52.31
Perimeter,42.14,23.55,237.92,22.72,53.91
Roughness,1.21,1.03,2.40,0.18,14.67
Sigma Intensity,34.26,3.38,52.56,9.17,26.76
Sum Intensity,47118.41,15973.00,3.61e+005,40183.45,85.28
Transparency,0.13,0.03,0.41,0.07,57.39
Volume (ABD),560.14,65.29,17012.94,1533.86,273.84
Width,7.90,3.24,32.22,3.56,45.05

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,45,4.34,0.60,861,0.07
6-7um,160,15.44,2.95,3061,0.33
7-8um,214,20.66,5.75,4095,0.63
8-9um,198,19.11,7.38,3789,0.81
0-5um,0,0.00,0.00,0.00,0.00
5-10um,762,73.55,24.48,14580,2.69
10-15um,194,18.73,17.62,3712,1.94
15-20um,29,2.80,7.87,555,0.87
20-25um,12,1.16,6.14,230,0.68
25-30um,10,0.97,12.54,191,1.38
30-35um,12,1.16,18.67,230,2.05
35-40um,6,0.58,12.57,115,1.38
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,142,13.71,7.67,2717,0.84
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

