List File,7-APRIL8-R7.lst
Start Time,2016-04-08  15:59:19
Sampling Time,5 sec

Count,414
Particles / ml,198773

Efficiency,15.6%
PPUI,6.79

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),111.49,21.24,803.13,90.68,81.33
Aspect Ratio,0.73,0.26,0.99,0.24,33.20
Circle Fit,0.64,0.00,0.95,0.30,46.29
Circularity (Hu),0.85,0.37,1.00,0.19,22.62
Compactness,1.75,1.00,5.23,0.80,45.61
Diameter (ABD),11.26,5.20,31.98,3.90,34.63
Diameter (ESD),13.70,6.15,39.46,5.69,41.52
Elongation,3.11,1.00,14.37,2.66,85.55
Geodesic Aspect Ratio,0.59,0.07,1.00,0.37,62.27
Geodesic Length,20.84,6.64,94.73,13.78,66.09
Geodesic Thickness,8.25,2.57,15.37,2.83,34.35
Intensity,151.67,92.32,197.82,21.25,14.01
Length,16.30,6.64,49.13,8.06,49.42
Perimeter,58.19,26.55,204.78,26.17,44.97
Roughness,1.28,1.04,2.18,0.19,15.18
Sigma Intensity,30.34,2.48,53.34,14.30,47.14
Sum Intensity,79787.27,19092.00,3.09e+005,47610.85,59.67
Transparency,0.15,0.03,0.39,0.10,64.91
Volume (ABD),1063.05,73.66,17121.55,1649.54,155.17
Width,10.01,4.06,29.60,3.54,35.36

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,16,3.86,0.42,7682,0.87
7-8um,37,8.94,1.42,17765,2.98
8-9um,24,5.80,1.25,11523,2.63
0-5um,0,0.00,0.00,0.00,0.00
5-10um,115,27.78,5.86,55215,12
10-15um,174,42.03,28.80,83542,61
15-20um,47,11.35,14.21,22566,30
20-25um,63,15.22,27.18,30248,57
25-30um,4,0.97,4.22,1921,8.87
30-35um,6,1.45,9.88,2881,21
35-40um,3,0.72,9.86,1440,21
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,36,8.70,2.67,17285,5.62
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

