List File,40-June2-R1.lst
Start Time,2016-06-02  11:14:19
Sampling Time,1 min 59 sec

Count,501
Particles / ml,10334

Efficiency,16.4%
PPUI,1.24

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),94.32,19.60,1033.11,113.32,120.14
Aspect Ratio,0.70,0.04,0.99,0.17,24.31
Circle Fit,0.64,0.00,0.94,0.21,32.39
Circularity (Hu),0.85,0.03,1.00,0.16,19.27
Compactness,2.16,1.01,36.95,2.65,122.96
Diameter (ABD),9.97,5.00,36.27,4.56,45.79
Diameter (ESD),12.59,5.43,80.54,7.71,61.24
Elongation,4.35,1.00,114.07,8.45,194.09
Geodesic Aspect Ratio,0.52,0.01,1.00,0.34,64.55
Geodesic Length,21.90,5.97,377.77,25.34,115.70
Geodesic Thickness,7.01,1.00,14.67,2.38,34.00
Image Height,36.37,21.00,142.00,13.69,37.65
Image Width,37.50,21.00,191.00,16.24,43.30
Intensity,142.96,101.16,190.32,14.80,10.35
Length,15.23,6.03,109.09,10.63,69.81
Perimeter,57.81,23.88,762.16,49.80,86.14
Roughness,1.29,1.04,3.42,0.24,18.82
Sigma Intensity,29.74,3.71,52.24,12.88,43.31
Sum Intensity,62873.54,17339.00,5.43e+005,54905.09,87.33
Transparency,0.17,0.04,0.82,0.10,59.66
Volume (ABD),953.84,65.29,24979.40,2342.00,245.53
Width,9.18,2.52,50.24,4.60,50.05

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,7,1.40,0.11,144,0.01
6-7um,43,8.58,0.87,887,0.09
7-8um,70,13.97,2.07,1444,0.20
8-9um,52,10.38,2.24,1073,0.22
0-5um,0,0.00,0.00,0.00,0.00
5-10um,233,46.51,8.75,4806,0.86
10-15um,156,31.14,19.15,3218,1.89
15-20um,62,12.38,17.87,1279,1.76
20-25um,22,4.39,12.77,454,1.26
25-30um,12,2.40,9.02,248,0.89
30-35um,5,1.00,5.23,103,0.52
35-40um,4,0.80,4.91,83,0.48
40-45um,2,0.40,9.66,41,0.95
45-50um,1,0.20,4.60,21,0.45
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,2,0.40,2.67,41,0.26
75-80um,0,0.00,0.00,0.00,0.00
80-85um,1,0.20,5.10,21,0.50
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,59,11.78,3.39,1217,0.33
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

