List File,FULL-12-4-MARCH29-R2.lst
Start Time,2016-03-29  14:43:00
Sampling Time,1 min 26 sec

Count,193
Particles / ml,5487

Efficiency,16.4%
PPUI,1.09

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),83.38,22.28,340.96,44.31,53.13
Aspect Ratio,0.85,0.43,0.99,0.11,13.01
Circle Fit,0.77,0.16,0.96,0.13,16.93
Circularity (Hu),0.94,0.57,1.00,0.07,6.91
Compactness,1.60,1.00,5.09,0.49,30.83
Diameter (ABD),10.02,5.33,20.84,2.42,24.12
Diameter (ESD),11.43,6.35,27.92,2.96,25.93
Elongation,2.61,1.00,13.91,1.67,64.12
Geodesic Aspect Ratio,0.53,0.07,1.00,0.29,54.77
Geodesic Length,17.48,6.96,80.51,8.21,46.99
Geodesic Thickness,7.52,2.78,14.33,1.93,25.67
Intensity,116.73,88.02,182.62,16.11,13.80
Length,12.77,7.12,31.31,3.71,29.06
Perimeter,49.99,27.84,172.59,15.53,31.07
Roughness,1.23,1.04,2.42,0.15,12.51
Sigma Intensity,35.55,7.14,51.54,7.54,21.21
Sum Intensity,48228.89,16774.00,1.76e+005,20929.79,43.40
Transparency,0.12,0.03,0.33,0.05,41.33
Volume (ABD),626.50,79.12,4736.18,574.32,91.67
Width,9.79,4.72,22.83,2.24,22.85

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,6,3.11,0.53,171,0.02
7-8um,10,5.18,1.20,284,0.04
8-9um,7,3.63,1.28,199,0.04
0-5um,0,0.00,0.00,0.00,0.00
5-10um,57,29.53,12.50,1621,0.43
10-15um,120,62.18,60.55,3412,2.08
15-20um,11,5.70,15.36,313,0.53
20-25um,3,1.55,7.37,85,0.25
25-30um,1,0.52,3.92,28,0.13
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,34,17.62,9.48,967,0.33
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

