List File,FULL-20-3-MARCH29.lst
Start Time,2016-03-29  10:11:35
Sampling Time,2 min 29 sec

Count,302
Particles / ml,49381

Efficiency,16.4%
PPUI,1.10

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),66.73,20.22,281.25,45.50,68.18
Aspect Ratio,0.86,0.40,0.99,0.10,11.33
Circle Fit,0.79,0.23,0.94,0.11,14.53
Circularity (Hu),0.94,0.46,1.00,0.08,8.07
Compactness,1.56,1.00,5.90,0.61,39.34
Diameter (ABD),8.76,5.07,18.92,2.86,32.60
Diameter (ESD),10.05,5.50,23.50,3.28,32.62
Elongation,2.43,1.00,16.46,2.05,84.33
Geodesic Aspect Ratio,0.60,0.06,1.00,0.31,51.42
Geodesic Length,14.92,6.05,49.84,7.54,50.50
Geodesic Thickness,7.21,1.83,14.93,2.21,30.64
Intensity,131.90,87.64,171.10,15.34,11.63
Length,11.22,5.98,28.58,3.86,34.44
Perimeter,44.26,24.20,110.85,14.97,33.83
Roughness,1.23,1.03,1.77,0.15,12.24
Sigma Intensity,37.03,5.06,52.12,8.54,23.05
Sum Intensity,44775.25,18008.00,1.51e+005,22518.77,50.29
Transparency,0.13,0.04,0.42,0.06,45.29
Volume (ABD),475.29,68.37,3548.22,502.37,105.70
Width,8.66,4.70,18.37,2.70,31.17

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,6,1.99,0.33,981,0.08
6-7um,37,12.25,2.72,6050,0.64
7-8um,60,19.87,6.08,9811,1.43
8-9um,50,16.56,7.22,8176,1.70
0-5um,0,0.00,0.00,0.00,0.00
5-10um,180,59.60,21.34,29432,5.01
10-15um,93,30.79,45.36,15207,11
15-20um,28,9.27,30.83,4578,7.23
20-25um,1,0.33,2.47,164,0.58
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,27,8.94,4.98,4415,1.17
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

