List File,DEF-12-3-MARCH30-R1.lst
Start Time,2016-03-30  16:31:08
Sampling Time,13 sec

Count,241
Particles / ml,42421

Efficiency,16.9%
PPUI,1.48

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),139.38,20.01,282.60,38.73,27.78
Aspect Ratio,0.93,0.41,1.00,0.08,8.58
Circle Fit,0.88,0.16,0.95,0.08,9.59
Circularity (Hu),0.98,0.55,1.00,0.05,5.01
Compactness,1.28,1.00,6.28,0.38,29.74
Diameter (ABD),13.15,5.05,18.97,2.14,16.26
Diameter (ESD),14.01,5.65,22.25,2.06,14.70
Elongation,1.34,1.00,17.68,1.28,95.54
Geodesic Aspect Ratio,0.89,0.06,1.00,0.21,23.92
Geodesic Length,14.95,6.52,50.00,3.88,25.95
Geodesic Thickness,12.69,2.69,15.32,2.67,21.02
Intensity,159.34,101.42,181.00,24.41,15.32
Length,14.86,6.03,26.79,2.11,14.23
Perimeter,55.29,26.09,105.65,8.36,15.11
Roughness,1.13,1.03,2.04,0.10,8.64
Sigma Intensity,10.11,2.52,48.46,12.32,121.89
Sum Intensity,1.05e+005,20688.00,1.83e+005,35606.72,33.92
Transparency,0.06,0.03,0.39,0.04,62.19
Volume (ABD),1276.37,67.34,3573.79,472.76,37.04
Width,13.03,3.59,15.59,2.21,16.99

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.41,0.02,176,0.01
6-7um,2,0.83,0.07,352,0.04
7-8um,1,0.41,0.05,176,0.03
8-9um,3,1.24,0.11,528,0.06
0-5um,0,0.00,0.00,0.00,0.00
5-10um,9,3.73,0.38,1584,0.20
10-15um,93,38.59,27.86,16370,15
15-20um,134,55.60,68.59,23587,37
20-25um,1,0.41,1.16,176,0.63
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1,0.41,0.09,176,0.05
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

