List File,FULL-12-4-MARCH30-R1.lst
Start Time,2016-03-30  16:50:49
Sampling Time,2 min 29 sec

Count,393
Particles / ml,6458

Efficiency,16.4%
PPUI,1.12

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),88.83,19.60,503.33,51.42,57.88
Aspect Ratio,0.88,0.41,1.00,0.10,11.77
Circle Fit,0.80,0.23,0.96,0.11,14.25
Circularity (Hu),0.96,0.55,1.00,0.06,5.83
Compactness,1.50,1.00,6.59,0.48,32.38
Diameter (ABD),10.30,5.00,25.32,2.66,25.83
Diameter (ESD),11.65,5.55,33.16,3.25,27.90
Elongation,2.25,1.00,18.64,1.63,72.43
Geodesic Aspect Ratio,0.61,0.05,1.00,0.31,49.69
Geodesic Length,16.64,6.25,80.70,8.67,52.10
Geodesic Thickness,8.30,3.07,14.05,2.12,25.55
Intensity,122.99,88.73,173.16,13.93,11.33
Length,12.84,6.42,42.29,3.96,30.81
Perimeter,49.87,24.98,170.06,16.56,33.20
Roughness,1.25,1.03,2.02,0.17,13.31
Sigma Intensity,37.83,5.02,51.67,8.46,22.36
Sum Intensity,53874.30,16774.00,2.58e+005,26312.27,48.84
Transparency,0.11,0.03,0.33,0.05,42.68
Volume (ABD),698.32,65.29,8494.57,735.08,105.26
Width,10.23,3.60,25.37,2.64,25.84

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,5,1.27,0.13,82,0.01
6-7um,10,2.54,0.32,164,0.01
7-8um,15,3.82,0.95,247,0.04
8-9um,30,7.63,2.50,493,0.11
0-5um,0,0.00,0.00,0.00,0.00
5-10um,110,27.99,9.93,1808,0.45
10-15um,241,61.32,57.21,3961,2.58
15-20um,31,7.89,17.91,509,0.81
20-25um,6,1.53,5.96,99,0.27
25-30um,3,0.76,5.45,49,0.25
30-35um,1,0.25,3.10,16,0.14
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,50,12.72,6.03,822,0.27
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

