 ,Area,Angle,Length
1,2.834E-4,-130.135,0.137
2,2.668E-4,-150.141,0.128
3,2.668E-4,6.340,0.129
4,1.709E-4,-127.999,0.082
5,2.459E-4,90.000,0.118
6,1.667E-4,11.889,0.079
7,1.459E-4,137.386,0.069
8,2.084E-4,-142.431,0.099
9,2.126E-4,-52.224,0.102
10,1.959E-4,-40.601,0.094
11,2.709E-4,-114.963,0.131
12,2.126E-4,32.735,0.102
13,3.501E-4,-156.529,0.170
14,2.584E-4,73.034,0.125
15,1.876E-4,-132.274,0.090
16,2.668E-4,-36.690,0.129
17,2.584E-4,135.659,0.125
18,1.751E-4,8.531,0.083
19,2.293E-4,100.685,0.110
20,2.251E-4,-129.668,0.109
21,2.459E-4,81.180,0.119
22,2.418E-4,16.504,0.116
23,2.251E-4,152.488,0.109
24,1.709E-4,-4.185,0.083
25,1.667E-4,-88.531,0.080
26,2.084E-4,100.620,0.100
27,1.667E-4,-59.534,0.081
28,2.751E-4,-64.612,0.133
29,2.376E-4,116.114,0.115
30,2.001E-4,-138.468,0.095
31,2.376E-4,-145.176,0.114
32,1.709E-4,-107.526,0.082
33,2.251E-4,113.629,0.108
34,1.667E-4,-101.889,0.080
