"","ID","Phosphorus","temp","r","K","a","b","eps","m","finalsimulatedP","finalsimulatedH","finalobservedP","finalobservedH"
"1",1,"FULL",20,0.250000000086965,48131949.3008031,10.0000001062142,10000,0.00100000106245897,0.199999999973436,47853537.8886762,0.0106960695935948,3071682.36,58
"2",2,"FULL",20,0.149463225852583,1591609093.97052,39.6584836537116,1e+05,0.0143170588164607,0.5,190593532.587612,79.9402944294866,1264592804,139
"3",3,"FULL",20,1,77639597.3806364,13.5092052655714,10000,0.0257747760278271,0.268470471174816,77637401.5894486,175.510137985182,3572308.74,95
"4",4,"FULL",20,0.158849843663126,254673133.903749,26.3167710140182,1e+05,0.0222877116960174,0.5,138735557.696559,157.637827339274,9291061.91,231
"5",5,"FULL",20,0.250000000129306,118070225.152635,10.0000000007232,10000,0.00100000000760608,0.19999999999981,116388298.982313,0.0106964860999305,803706.11,251
"6",6,"FULL",20,1,64026323.8177482,12.1088851878627,1e+05,0.0481731408567491,0.5,64024268.7264162,183.986491955933,4861966.25,123
"7",7,"DEF",20,0.117013464172839,4501606251191.74,10.0000023416096,10000,0.00903149168124328,0.1,67470840.9728275,7.00310848687344,1459401876,5
"8",8,"DEF",20,1,61318046.0568476,10,81651.9993341176,0.0189520660506023,0.1,61315798.8798499,245.096277593315,2501577.84,186
"9",9,"DEF",20,0.250000000103825,65576019.6035746,10.0000000086098,10000,0.00100000008641981,0.199999999997839,65057431.3673326,0.0106962546697454,6221879.82,119
"10",10,"DEF",20,1,55005519.6436021,12.2220600589527,10000,0.0147698915278789,0.1,55003472.9337891,180.965550259935,3745123.5,94
"11",11,"DEF",20,1,77900566.2288444,11.1253964556209,10000,0.0178031127380798,0.149762003541964,77899963.9910541,56.7521325666204,4695496.3,45
"12",12,"DEF",20,1,100060432.415169,14.2343397094072,10000,0.0223787649498806,0.273584337788231,100059747.997603,50.2472171920964,6173514.56,38
"13",13,"FULL",16,0.250000000006425,68234428.4970183,10.0000002698645,10000,0.0010000026987005,0.199999999932527,67672786.0278073,0.0106962851493607,20671672.35,13
"14",14,"FULL",16,0.0813212775778211,1e+13,10.7724327610271,1e+05,0.0482831757537817,0.5,18661423.2331043,11.6046302873401,475581388.3,32
"15",15,"FULL",16,0.952081859153228,31540151.1837347,27.4312128598623,1e+05,0.0193345036123924,0.5,31539406.9952567,26.6914533263844,8936715.48,38
"16",16,"FULL",16,0.05,15973165.786425,12.2571760108066,1e+05,0.0452307024266907,0.5,4585535.88052764,27.7369639741937,647945.44,54
"17",17,"FULL",16,0.05,16730063.4733353,10,10000,0.0116466963392471,0.1,4638418.24147249,17.7203198359924,12095493.24,25
"18",18,"FULL",16,1,48592759.8942707,10.773033372459,1e+05,0.0495273296574542,0.5,48592441.0594188,30.6191246300651,8388288.6,47
"19",19,"DEF",16,1,47758664.3053775,10.0221219816021,10000,0.0208267691685,0.173336778978478,47758319.5162746,35.6260908275957,7576664.89,39
"20",20,"DEF",16,1,98640545.1781327,27.8959607634861,1e+05,0.0196513049392148,0.5,98639141.5598205,52.7658433404011,2090511.01,76
