ID;P;temp;replicate
1;FULL;20;1
2;FULL;20;2
3;FULL;20;3
4;FULL;20;4
5;FULL;20;5
6;FULL;20;6
7;DEF;20;1
8;DEF;20;2
9;DEF;20;3
10;DEF;20;4
11;DEF;20;5
12;DEF;20;6
13;FULL;16;1
14;FULL;16;2
15;FULL;16;3
16;FULL;16;4
17;FULL;16;5
18;FULL;16;6
19;DEF;16;1
20;DEF;16;2
21;DEF;16;3
22;DEF;16;4
23;DEF;16;5
24;DEF;16;6
25;FULL;24;1
26;FULL;24;2
27;FULL;24;3
28;FULL;24;4
29;FULL;24;5
30;FULL;24;6
31;DEF;24;1
32;DEF;24;2
33;DEF;24;3
34;DEF;24;4
35;DEF;24;5
36;DEF;24;6
37;FULL;12;1
38;FULL;12;2
39;FULL;12;3
40;FULL;12;4
41;FULL;12;5
42;FULL;12;6
43;DEF;12;1
44;DEF;12;2
45;DEF;12;3
46;DEF;12;4
47;DEF;12;5
48;DEF;12;6
49;FULL;12;C4
50;DEF;12;C4
51;DEF;12;C1
52;DEF;12;C2
53;DEF;12;C3
54;FULL;12;C1
55;FULL;12;C2
56;FULL;12;C3
57;DEF;16;C1
58;DEF;16;C2
59;DEF;16;C3
60;FULL;16;C1
61;FULL;16;C2
62;FULL;16;C3
63;DEF;20;C1
64;DEF;20;C2
65;DEF;20;C3
66;FULL;20;C1
67;FULL;20;C2
68;FULL;20;C3
69;DEF;24;C1
70;DEF;24;C2
71;DEF;24;C3
72;FULL;24;C1
73;FULL;24;C2
74;FULL;24;C3
