List File,FULL-20-1-APRIL1-R1.lst
Start Time,2016-04-01  14:26:27
Sampling Time,22 sec

Count,2692  of  2692
Particles / ml,2975906

Efficiency,16.2%
PPUI,10.16

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),47.71,19.60,1030.54,42.88,89.88
Aspect Ratio,0.85,0.37,1.00,0.13,14.81
Circle Fit,0.79,0.00,0.96,0.14,18.25
Circularity (Hu),0.93,0.44,1.00,0.11,11.28
Compactness,1.49,1.00,7.01,0.64,43.06
Diameter (ABD),7.47,5.00,36.22,2.22,29.66
Diameter (ESD),8.60,5.29,44.96,2.81,32.66
Elongation,2.26,1.00,19.98,2.12,93.60
Geodesic Aspect Ratio,0.69,0.05,1.00,0.33,47.87
Geodesic Length,12.58,5.77,140.63,7.99,63.54
Geodesic Thickness,6.64,1.75,14.46,1.75,26.33
Image Height,29.86,20.00,97.00,5.58,18.70
Image Width,29.56,20.00,101.00,5.20,17.59
Intensity,146.05,97.84,185.98,17.36,11.89
Length,9.57,5.58,49.68,3.29,34.40
Perimeter,38.44,23.10,298.52,15.07,39.22
Roughness,1.18,1.03,2.35,0.16,13.51
Sigma Intensity,33.61,2.33,50.42,12.18,36.23
Sum Intensity,39273.98,17073.00,5.28e+005,23958.83,61.00
Transparency,0.12,0.03,0.42,0.07,57.70
Volume (ABD),296.92,65.29,24886.18,742.50,250.07
Width,7.41,3.38,38.15,2.36,31.94

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,119,4.42,1.20,131550,11
6-7um,498,18.50,6.77,550520,60
7-8um,861,31.98,16.28,951804,144
8-9um,465,17.27,12.91,514040,114
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2211,82.13,47.08,2444178,416
10-15um,431,16.01,30.16,476454,266
15-20um,25,0.93,4.73,27637,42
20-25um,11,0.41,4.89,12160,43
25-30um,6,0.22,4.91,6633,43
30-35um,3,0.11,3.54,3316,31
35-40um,1,0.04,1.42,1105,13
40-45um,1,0.04,3.11,1105,28
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,244,9.06,9.44,269733,83
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

