List File,12-APRIL26-R2_copy_copy.lst
Start Time,2016-04-26  12:12:54
Sampling Time,1 min 43 sec

Count,295  of  295
Particles / ml,7008

Efficiency,16.3%
PPUI,1.49

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),67.50,19.60,404.00,62.33,92.35
Aspect Ratio,0.76,0.29,0.99,0.13,16.98
Circle Fit,0.70,0.25,0.92,0.13,18.11
Circularity (Hu),0.89,0.25,1.00,0.10,11.30
Compactness,1.88,1.00,7.64,0.95,50.61
Diameter (ABD),8.69,5.00,22.68,3.23,37.10
Diameter (ESD),10.36,5.43,26.71,3.81,36.81
Elongation,3.49,1.00,21.95,3.16,90.38
Geodesic Aspect Ratio,0.47,0.05,1.00,0.29,61.54
Geodesic Length,17.77,5.94,61.97,9.90,55.71
Geodesic Thickness,6.21,2.01,13.24,2.04,32.94
Image Height,33.57,20.00,67.00,7.61,22.67
Image Width,32.31,20.00,68.00,7.05,21.82
Intensity,150.02,103.04,178.45,14.37,9.58
Length,12.08,5.92,33.66,4.57,37.81
Perimeter,47.95,23.74,134.14,19.43,40.51
Roughness,1.25,1.04,2.15,0.19,15.28
Sigma Intensity,38.53,9.82,53.32,10.15,26.34
Sum Intensity,52644.04,15662.00,2.58e+005,37244.02,70.75
Transparency,0.16,0.05,0.56,0.07,44.95
Volume (ABD),520.95,65.29,6108.41,899.88,172.74
Width,8.27,3.59,21.70,3.17,38.32

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,10,3.39,0.46,238,0.02
6-7um,33,11.19,2.03,784,0.07
7-8um,31,10.51,2.85,736,0.10
8-9um,52,17.63,6.66,1235,0.24
0-5um,0,0.00,0.00,0.00,0.00
5-10um,171,57.97,19.93,4062,0.73
10-15um,96,32.54,32.91,2280,1.20
15-20um,15,5.08,15.53,356,0.57
20-25um,9,3.05,19.94,214,0.73
25-30um,3,1.02,11.51,71,0.42
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,43,14.58,7.75,1021,0.28
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

