List File,14-APRIL19-R1_copy.lst
Start Time,2016-04-19  10:04:13
Sampling Time,57 sec

Count,280  of  280
Particles / ml,11944

Efficiency,16.5%
PPUI,1.69

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),113.09,19.81,532.28,86.16,76.18
Aspect Ratio,0.72,0.35,0.98,0.14,19.42
Circle Fit,0.66,0.17,0.94,0.14,21.28
Circularity (Hu),0.88,0.58,1.00,0.08,9.53
Compactness,1.84,1.00,7.99,0.71,38.46
Diameter (ABD),11.21,5.02,26.03,4.28,38.13
Diameter (ESD),13.37,5.32,31.61,5.08,38.01
Elongation,3.42,1.00,23.04,2.35,68.62
Geodesic Aspect Ratio,0.42,0.04,1.00,0.26,61.82
Geodesic Length,22.41,5.89,65.25,11.29,50.36
Geodesic Thickness,7.24,2.65,20.97,2.40,33.18
Image Height,39.65,24.00,79.00,10.61,26.75
Image Width,37.30,22.00,71.00,9.14,24.51
Intensity,135.63,98.75,162.11,13.72,10.11
Length,15.73,5.74,35.89,6.22,39.55
Perimeter,59.30,23.55,136.16,23.51,39.65
Roughness,1.32,1.04,2.29,0.23,17.31
Sigma Intensity,35.30,8.07,56.59,10.41,29.48
Sum Intensity,73318.41,15108.00,2.75e+005,49074.87,66.93
Transparency,0.16,0.04,0.31,0.06,35.28
Volume (ABD),1084.82,66.31,9237.99,1270.93,117.16
Width,10.54,3.54,28.91,4.16,39.44

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,6,2.14,0.14,256,0.02
6-7um,18,6.43,0.51,768,0.07
7-8um,22,7.86,1.03,938,0.13
8-9um,20,7.14,1.14,853,0.15
0-5um,0,0.00,0.00,0.00,0.00
5-10um,89,31.79,4.84,3796,0.63
10-15um,90,32.14,19.11,3839,2.48
15-20um,69,24.64,36.89,2943,4.78
20-25um,28,10.00,29.39,1194,3.81
25-30um,3,1.07,6.73,128,0.87
30-35um,1,0.36,3.04,43,0.39
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,23,8.21,2.01,981,0.26
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

