List File,FULL-24-3-APRIL1-R1.lst
Start Time,2016-04-01  09:57:21
Sampling Time,2 min 23 sec

Count,1721  of  1721
Particles / ml,29523

Efficiency,16.3%
PPUI,1.65

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),67.16,19.60,1796.57,100.28,149.32
Aspect Ratio,0.85,0.24,1.00,0.11,12.88
Circle Fit,0.77,0.00,0.95,0.14,18.60
Circularity (Hu),0.93,0.15,1.00,0.09,9.64
Compactness,1.66,1.00,20.89,0.99,59.42
Diameter (ABD),8.54,5.00,47.83,3.56,41.68
Diameter (ESD),9.92,5.31,61.32,4.66,46.98
Elongation,2.77,1.00,63.62,3.21,116.11
Geodesic Aspect Ratio,0.60,0.02,1.00,0.32,54.60
Geodesic Length,15.87,5.86,278.64,14.17,89.27
Geodesic Thickness,6.82,1.39,17.40,2.05,30.00
Image Height,32.59,22.00,145.00,9.17,28.13
Image Width,31.71,22.00,128.00,8.20,25.84
Intensity,141.76,95.53,196.92,13.80,9.73
Length,11.13,5.92,76.45,5.73,51.46
Perimeter,45.38,23.42,566.03,28.16,62.06
Roughness,1.25,1.03,3.78,0.22,17.94
Sigma Intensity,38.30,2.48,55.53,7.60,19.84
Sum Intensity,49013.03,14753.00,8.68e+005,50533.29,103.10
Transparency,0.13,0.03,0.63,0.06,49.09
Volume (ABD),600.94,65.29,57283.45,2632.78,438.11
Width,8.47,3.92,48.41,3.50,41.28

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,42,2.44,0.31,720,0.06
6-7um,234,13.60,2.38,4014,0.42
7-8um,319,18.54,4.77,5472,0.85
8-9um,309,17.95,6.54,5301,1.16
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1157,67.23,21.18,19848,3.76
10-15um,437,25.39,24.33,7496,4.32
15-20um,81,4.71,11.98,1389,2.13
20-25um,15,0.87,4.44,257,0.79
25-30um,10,0.58,5.12,172,0.91
30-35um,5,0.29,3.64,86,0.65
35-40um,3,0.17,3.33,51,0.59
40-45um,2,0.12,2.70,34,0.48
45-50um,1,0.06,2.51,17,0.45
50-55um,1,0.06,4.44,17,0.79
55-60um,3,0.17,10.61,51,1.88
60-65um,1,0.06,5.54,17,0.98
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,244,14.18,7.03,4186,1.25
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

