List File,DEF-24-5-APRIL-R1.lst
Start Time,2016-04-01  09:40:35
Sampling Time,1 min 45 sec

Count,1816  of  1816
Particles / ml,42352

Efficiency,16.3%
PPUI,1.89

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),51.64,19.60,801.71,51.32,99.39
Aspect Ratio,0.85,0.31,1.00,0.11,12.66
Circle Fit,0.79,0.00,0.95,0.12,15.21
Circularity (Hu),0.94,0.18,1.00,0.08,8.05
Compactness,1.55,1.00,10.26,0.68,43.78
Diameter (ABD),7.69,5.00,31.95,2.57,33.39
Diameter (ESD),8.88,5.28,39.37,3.11,35.01
Elongation,2.43,1.00,30.21,2.24,92.28
Geodesic Aspect Ratio,0.62,0.03,1.00,0.32,51.44
Geodesic Length,13.50,5.77,89.18,7.96,58.92
Geodesic Thickness,6.53,1.25,15.16,1.87,28.67
Image Height,30.61,22.00,94.00,6.07,19.84
Image Width,29.94,22.00,86.00,5.72,19.11
Intensity,143.30,100.43,190.20,14.52,10.13
Length,9.93,5.58,45.33,3.68,37.07
Perimeter,40.07,23.10,199.84,15.56,38.83
Roughness,1.22,1.03,2.57,0.18,14.45
Sigma Intensity,36.96,2.55,50.29,8.69,23.52
Sum Intensity,40427.91,16656.00,4.06e+005,27487.89,67.99
Transparency,0.13,0.03,0.63,0.06,45.16
Volume (ABD),347.44,65.29,17076.26,893.29,257.11
Width,7.61,3.73,35.54,2.58,33.87

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,81,4.46,0.97,1889,0.14
6-7um,361,19.88,5.90,8419,0.87
7-8um,412,22.69,9.63,9609,1.42
8-9um,341,18.78,11.20,7953,1.65
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1419,78.14,37.81,33093,5.56
10-15um,320,17.62,29.02,7463,4.27
15-20um,58,3.19,13.56,1353,2.00
20-25um,11,0.61,5.55,257,0.82
25-30um,2,0.11,2.23,47,0.33
30-35um,1,0.06,1.68,23,0.25
35-40um,4,0.22,10.08,93,1.48
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,217,11.95,9.91,5061,1.46
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

