List File,DEF-24-6-APRIL1-R2.lst
Start Time,2016-04-01  10:25:40
Sampling Time,2 min 2 sec

Count,1798  of  1798
Particles / ml,36042

Efficiency,16.3%
PPUI,1.74

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),64.50,19.60,1416.84,69.13,107.18
Aspect Ratio,0.86,0.31,1.00,0.10,11.50
Circle Fit,0.77,0.05,0.96,0.12,16.01
Circularity (Hu),0.93,0.14,1.00,0.10,11.09
Compactness,1.79,1.00,13.62,1.14,63.68
Diameter (ABD),8.57,5.00,42.47,2.94,34.32
Diameter (ESD),9.99,5.37,48.63,3.58,35.82
Elongation,3.18,1.00,40.78,3.72,116.79
Geodesic Aspect Ratio,0.55,0.02,1.00,0.32,57.98
Geodesic Length,16.53,5.86,112.13,10.60,64.13
Geodesic Thickness,6.63,1.37,20.87,2.17,32.64
Image Height,32.71,23.00,109.00,7.06,21.57
Image Width,31.88,23.00,93.00,6.39,20.03
Intensity,144.14,100.41,199.05,13.52,9.38
Length,11.08,5.74,55.43,4.17,37.60
Perimeter,46.34,23.42,238.36,20.37,43.95
Roughness,1.27,1.03,2.61,0.25,19.31
Sigma Intensity,38.93,3.30,50.97,7.64,19.61
Sum Intensity,48863.51,16064.00,6.84e+005,36945.74,75.61
Transparency,0.13,0.03,0.65,0.07,52.43
Volume (ABD),493.16,65.29,40118.55,1550.05,314.31
Width,8.65,4.32,42.83,3.00,34.66

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,39,2.17,0.34,782,0.06
6-7um,200,11.12,2.32,4009,0.41
7-8um,294,16.35,5.04,5893,0.90
8-9um,308,17.13,7.65,6174,1.36
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1095,60.90,23.68,21950,4.21
10-15um,579,32.20,37.02,11606,6.58
15-20um,89,4.95,12.58,1784,2.24
20-25um,22,1.22,7.83,441,1.39
25-30um,5,0.28,3.59,100,0.64
30-35um,1,0.06,1.24,20,0.22
35-40um,3,0.17,5.21,60,0.93
40-45um,0,0.00,0.00,0.00,0.00
45-50um,2,0.11,8.77,40,1.56
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,244,13.57,8.13,4891,1.45
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

