List File,36-APRIL5-R2.lst
Start Time,2016-04-05  10:21:52
Sampling Time,1 min 59 sec

Count,692
Particles / ml,14301

Efficiency,16.3%
PPUI,1.38

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),80.82,19.60,795.77,110.97,137.31
Aspect Ratio,0.78,0.27,0.99,0.16,20.75
Circle Fit,0.73,0.00,0.95,0.19,26.19
Circularity (Hu),0.90,0.38,1.00,0.12,13.47
Compactness,1.60,1.00,6.90,0.77,48.06
Diameter (ABD),9.09,5.00,31.83,4.51,49.64
Diameter (ESD),10.70,5.33,45.82,5.94,55.53
Elongation,2.62,1.00,19.63,2.53,96.57
Geodesic Aspect Ratio,0.64,0.05,1.00,0.35,54.01
Geodesic Length,16.38,5.86,111.61,14.56,88.92
Geodesic Thickness,7.26,2.10,16.20,2.29,31.60
Intensity,142.74,94.37,200.85,22.02,15.43
Length,12.42,5.58,58.86,7.53,60.64
Perimeter,47.28,23.42,240.00,29.52,62.45
Roughness,1.24,1.03,2.21,0.20,15.86
Sigma Intensity,33.25,6.63,53.42,9.38,28.21
Sum Intensity,53333.06,15934.00,3.77e+005,48014.36,90.03
Transparency,0.14,0.03,0.44,0.08,56.53
Volume (ABD),813.39,65.29,16886.56,2087.18,256.60
Width,8.53,3.15,32.49,4.29,50.26

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,30,4.34,0.41,620,0.05
6-7um,75,10.84,1.44,1550,0.17
7-8um,110,15.90,3.02,2273,0.35
8-9um,110,15.90,4.32,2273,0.50
0-5um,0,0.00,0.00,0.00,0.00
5-10um,437,63.15,15.19,9031,1.75
10-15um,164,23.70,14.55,3389,1.68
15-20um,34,4.91,8.67,703,1.00
20-25um,17,2.46,10.04,351,1.16
25-30um,14,2.02,15.86,289,1.83
30-35um,7,1.01,10.63,145,1.22
35-40um,6,0.87,14.67,124,1.69
40-45um,3,0.43,7.66,62,0.88
45-50um,1,0.14,2.63,21,0.30
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,110,15.90,5.95,2273,0.68
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

