List File,40-MAY4-R1_copy.lst
Start Time,2016-05-04  15:03:00
Sampling Time,43 sec

Count,202  of  202
Particles / ml,11442

Efficiency,16.4%
PPUI,1.39

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),66.99,20.63,262.13,37.30,55.67
Aspect Ratio,0.86,0.40,0.99,0.12,13.58
Circle Fit,0.80,0.29,0.96,0.13,16.31
Circularity (Hu),0.95,0.59,1.00,0.07,6.87
Compactness,1.45,1.00,4.87,0.48,33.10
Diameter (ABD),8.94,5.12,18.27,2.31,25.82
Diameter (ESD),10.14,5.84,21.22,2.81,27.73
Elongation,2.09,1.00,13.22,1.61,77.00
Geodesic Aspect Ratio,0.67,0.08,1.00,0.31,46.50
Geodesic Length,14.09,6.36,42.33,6.86,48.66
Geodesic Thickness,7.68,3.20,14.78,1.97,25.63
Image Height,32.51,23.00,62.00,5.37,16.50
Image Width,32.64,24.00,61.00,5.81,17.81
Intensity,129.23,90.42,160.51,14.81,11.46
Length,11.34,6.50,26.33,3.57,31.48
Perimeter,43.55,25.44,94.92,13.00,29.85
Roughness,1.20,1.04,1.74,0.14,11.67
Sigma Intensity,36.73,7.57,55.72,10.06,27.40
Sum Intensity,45172.12,16467.00,1.28e+005,20583.66,45.57
Transparency,0.11,0.03,0.33,0.05,46.48
Volume (ABD),455.73,70.47,3192.55,418.09,91.74
Width,8.73,4.70,16.30,2.21,25.29

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,2,0.99,0.19,113,0.01
6-7um,14,6.93,1.58,793,0.08
7-8um,28,13.86,5.03,1586,0.26
8-9um,38,18.81,10.08,2153,0.53
0-5um,0,0.00,0.00,0.00,0.00
5-10um,115,56.93,28.49,6514,1.49
10-15um,70,34.65,45.00,3965,2.35
15-20um,13,6.44,17.80,736,0.93
20-25um,3,1.49,8.30,170,0.43
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,33,16.34,11.61,1869,0.61
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

