List File,44-APRIL8-R5_copy.lst
Start Time,2016-04-08  11:11:56
Sampling Time,2 min 14 sec

Count,1499  of  1499
Particles / ml,27497

Efficiency,16.3%
PPUI,1.62

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),105.01,19.60,2037.87,107.87,102.73
Aspect Ratio,0.87,0.33,1.00,0.11,12.78
Circle Fit,0.78,0.00,0.96,0.13,16.65
Circularity (Hu),0.94,0.17,1.00,0.10,11.07
Compactness,1.70,1.00,8.48,0.84,49.60
Diameter (ABD),10.91,5.00,50.94,3.84,35.23
Diameter (ESD),12.44,5.60,59.10,4.41,35.43
Elongation,2.87,1.00,24.60,2.78,96.76
Geodesic Aspect Ratio,0.54,0.04,1.00,0.30,56.22
Geodesic Length,19.15,6.44,113.56,10.28,53.68
Geodesic Thickness,8.14,1.73,23.52,2.71,33.31
Image Height,37.25,22.00,133.00,8.51,22.84
Image Width,36.17,23.00,118.00,7.86,21.74
Intensity,133.97,82.92,182.30,16.62,12.41
Length,13.70,6.03,66.24,5.27,38.44
Perimeter,54.58,25.76,266.92,20.62,37.78
Roughness,1.27,1.03,2.32,0.18,13.94
Sigma Intensity,41.29,3.71,56.18,6.77,16.41
Sum Intensity,66499.25,18929.00,7.09e+005,47535.29,71.48
Transparency,0.12,0.03,0.59,0.07,58.08
Volume (ABD),1022.57,65.29,69203.63,2694.24,263.48
Width,10.92,3.89,49.78,3.53,32.35

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.07,0.00,18,0.00
6-7um,18,1.20,0.11,330,0.03
7-8um,59,3.94,0.59,1082,0.17
8-9um,124,8.27,1.85,2275,0.52
0-5um,0,0.00,0.00,0.00,0.00
5-10um,412,27.48,6.86,7558,1.93
10-15um,832,55.50,36.76,15262,10
15-20um,185,12.34,19.37,3394,5.45
20-25um,34,2.27,7.48,624,2.10
25-30um,12,0.80,5.93,220,1.67
30-35um,18,1.20,14.18,330,3.99
35-40um,1,0.07,1.67,18,0.47
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,1,0.07,3.04,18,0.86
55-60um,1,0.07,4.51,18,1.27
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,210,14.01,4.31,3852,1.21
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

