List File,62-FULL-16-C3-APRIL2-R1.lst
Start Time,2016-04-02  13:24:20
Sampling Time,1 min 20 sec

Count,405
Particles / ml,12403

Efficiency,16.4%
PPUI,1.19

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),73.93,19.60,217.49,33.82,45.75
Aspect Ratio,0.85,0.40,0.99,0.09,11.10
Circle Fit,0.75,0.22,0.94,0.10,13.85
Circularity (Hu),0.94,0.63,1.00,0.05,5.59
Compactness,1.77,1.00,7.78,0.68,38.32
Diameter (ABD),9.47,5.00,16.64,2.11,22.31
Diameter (ESD),10.96,5.32,19.93,2.50,22.77
Elongation,3.14,1.00,22.41,2.28,72.49
Geodesic Aspect Ratio,0.45,0.04,1.00,0.26,57.50
Geodesic Length,18.34,5.86,55.74,7.94,43.32
Geodesic Thickness,6.71,2.49,13.10,1.82,27.18
Intensity,128.14,90.25,173.78,14.49,11.31
Length,12.26,5.74,24.13,2.93,23.89
Perimeter,50.10,23.42,116.45,14.55,29.04
Roughness,1.27,1.04,2.20,0.19,15.07
Sigma Intensity,39.18,15.17,52.18,5.78,14.76
Sum Intensity,49219.67,16158.00,1.40e+005,20722.33,42.10
Transparency,0.13,0.04,0.35,0.04,31.92
Volume (ABD),513.72,65.29,2412.85,367.24,71.49
Width,9.40,4.70,16.47,2.18,23.16

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,2,0.49,0.06,61,0.00
6-7um,7,1.73,0.30,214,0.02
7-8um,21,5.19,1.42,643,0.09
8-9um,54,13.33,5.42,1654,0.35
0-5um,0,0.00,0.00,0.00,0.00
5-10um,162,40.00,18.28,4961,1.16
10-15um,214,52.84,61.54,6554,3.92
15-20um,27,6.67,19.82,827,1.26
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,77,19.01,10.96,2358,0.70
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

