List File,74-MAY4-R1_copy.lst
Start Time,2016-05-04  18:11:04
Sampling Time,1 min 37 sec

Count,50546  of  50546
Particles / ml,2460303

Efficiency,8.4%
PPUI,90.28

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),85.56,19.60,450.91,63.69,74.45
Aspect Ratio,0.75,0.12,1.00,0.15,20.46
Circle Fit,0.64,0.00,0.94,0.17,26.92
Circularity (Hu),0.85,0.12,1.00,0.13,15.11
Compactness,2.24,1.00,13.10,1.14,50.70
Diameter (ABD),9.87,5.00,23.96,3.38,34.24
Diameter (ESD),12.15,5.30,39.66,4.39,36.16
Elongation,4.72,1.00,39.12,3.72,78.80
Geodesic Aspect Ratio,0.34,0.03,1.00,0.24,68.90
Geodesic Length,23.46,5.77,138.77,13.68,58.32
Geodesic Thickness,5.81,1.32,18.65,1.78,30.67
Image Height,37.18,17.00,102.00,9.01,24.24
Image Width,35.28,18.00,109.00,8.31,23.55
Intensity,156.23,73.67,219.89,16.46,10.53
Length,14.28,5.74,52.65,5.45,38.14
Perimeter,58.53,23.10,284.63,26.69,45.61
Roughness,1.32,1.03,2.91,0.24,17.99
Sigma Intensity,39.91,2.93,64.22,9.64,24.16
Sum Intensity,66017.53,13488.00,3.10e+005,39714.90,60.16
Transparency,0.18,0.04,0.67,0.08,41.83
Volume (ABD),703.83,65.29,7202.65,866.17,123.07
Width,9.55,2.03,30.89,3.46,36.21

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,375,0.74,0.08,18253,1.31
6-7um,2346,4.64,0.62,114190,11
7-8um,4112,8.14,1.57,200150,27
8-9um,5450,10.78,2.96,265276,51
0-5um,0,0.00,0.00,0.00,0.00
5-10um,18705,37.01,9.93,910457,172
10-15um,21096,41.74,31.87,1026838,552
15-20um,7557,14.95,29.43,367833,510
20-25um,2223,4.40,17.07,108203,296
25-30um,723,1.43,9.07,35192,157
30-35um,144,0.28,2.30,7009,40
35-40um,9,0.02,0.15,438,2.64
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,6254,12.37,4.61,304410,80
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

