List File,8-APRIL1-R4.lst
Start Time,2016-04-01  15:07:43
Sampling Time,22 sec

Count,588  of  588
Particles / ml,1174219

Efficiency,5.3%
PPUI,2.41

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),42.40,19.60,357.63,30.09,70.96
Aspect Ratio,0.88,0.48,1.00,0.07,7.50
Circle Fit,0.84,0.51,0.95,0.08,8.94
Circularity (Hu),0.97,0.75,1.00,0.03,3.01
Compactness,1.31,1.00,2.63,0.30,22.88
Diameter (ABD),7.13,5.00,21.34,1.76,24.69
Diameter (ESD),7.97,5.29,24.50,2.01,25.24
Elongation,1.66,1.00,6.10,0.97,58.30
Geodesic Aspect Ratio,0.76,0.16,1.00,0.29,38.23
Geodesic Length,10.49,5.86,47.84,4.64,44.20
Geodesic Thickness,6.89,3.17,12.08,1.46,21.24
Image Height,28.64,20.00,58.00,3.87,13.52
Image Width,28.53,23.00,63.00,3.91,13.72
Intensity,138.51,99.05,169.51,13.41,9.68
Length,8.77,5.58,28.47,2.27,25.83
Perimeter,34.76,23.42,114.49,9.10,26.18
Roughness,1.16,1.03,1.72,0.13,10.94
Sigma Intensity,34.66,6.55,50.97,7.98,23.03
Sum Intensity,34072.02,16244.00,1.77e+005,15475.40,45.42
Transparency,0.10,0.03,0.26,0.05,47.17
Volume (ABD),235.55,65.29,5087.56,398.11,169.01
Width,7.02,4.54,22.28,1.84,26.27

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,37,6.29,2.10,73888,5.82
6-7um,147,25.00,11.54,293555,32
7-8um,172,29.25,20.10,343479,56
8-9um,107,18.20,17.78,213676,49
0-5um,0,0.00,0.00,0.00,0.00
5-10um,539,91.67,68.08,1076368,188
10-15um,41,6.97,14.01,81876,39
15-20um,3,0.51,4.81,5991,13
20-25um,4,0.68,12.86,7988,36
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,73,12.41,16.18,145779,45
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

