channel,difference,water_weight,daph_weight,daph_weight_median,daph_weight_median_no
D5,0.08915,0.0889625,0.0001875,0.0746375,0.0723375
A5,0.10295,0.0889625,0.0139875,0.0746375,0.0723375
C1,0.10965,0.0889625,0.0206875,0.0746375,0.0723375
B6,0.1282,0.0889625,0.0392375,0.0746375,0.0723375
C5,0.1321,0.0889625,0.0431375,0.0746375,0.0723375
D6,0.1346,0.0889625,0.0456375,0.0746375,0.0723375
B1,0.13675,0.0889625,0.0477875,0.0746375,0.0723375
B5,0.1392,0.0889625,0.0502375,0.0746375,0.0723375
B3,0.1613,0.0889625,0.0723375,0.0746375,0.0723375
C3,0.1659,0.0889625,0.0769375,0.0746375,0.0723375
D3,0.1735,0.0889625,0.0845375,0.0746375,0.0723375
C4,0.17615,0.0889625,0.0871875,0.0746375,0.0723375
B4,0.18965,0.0889625,0.1006875,0.0746375,0.0723375
D4,0.2035,0.0889625,0.1145375,0.0746375,0.0723375
D2,0.2284,0.0889625,0.1394375,0.0746375,0.0723375
B2,0.23065,0.0889625,0.1416875,0.0746375,0.0723375
C6,0.309,0.0889625,0.2200375,0.0746375,0.0723375
A6,0.3304,0.0889625,0.2414375,0.0746375,0.0723375
