Date,Time_in_min,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,temp_internal
01.06.16 10:15:39,0.03,0,7.91,7.97,7.73,7.27,6.46,6.73,7.06,6.93,6.88,6.66,6.76,6.87,No Sensor,7.23,7.14,8.2,6.63,6.88,6.9,6.9,6.69,7.27,6.99,11.86
01.06.16 10:15:54,0.28,0,7.91,7.99,7.7,7.28,6.38,6.69,7.04,6.92,6.87,6.71,6.76,6.9,No Sensor,7.22,7.09,8.22,6.57,6.79,6.88,6.88,6.69,7.28,7.01,11.88
01.06.16 10:16:09,0.53,0,7.91,7.97,7.75,7.22,6.43,6.66,7.03,6.9,6.84,6.68,6.73,6.92,No Sensor,7.23,7.11,8.25,6.6,6.8,6.84,6.85,6.68,7.23,6.98,11.89
01.06.16 10:16:24,0.78,0,7.88,8.02,7.7,7.27,6.38,6.66,7.03,6.93,6.85,6.73,6.69,6.92,No Sensor,7.23,7.11,8.33,6.62,6.79,6.9,6.9,6.69,7.3,6.98,11.91
01.06.16 10:16:39,1.03,0,7.94,7.96,7.76,7.25,6.41,6.65,7.03,6.88,6.87,6.71,6.71,6.85,No Sensor,7.22,7.07,8.38,6.63,6.8,6.88,6.9,6.66,7.3,6.96,11.91
01.06.16 10:16:54,1.28,0,7.88,7.93,7.75,7.25,6.37,6.62,7.03,6.93,6.84,6.66,6.69,6.88,No Sensor,7.22,7.09,8.4,6.58,6.74,6.9,6.87,6.65,7.28,6.95,11.93
01.06.16 10:17:09,1.53,0,7.91,7.96,7.76,7.2,6.41,6.62,6.99,6.9,6.79,6.71,6.66,6.87,No Sensor,7.22,7.06,8.4,6.63,6.8,6.85,6.88,6.58,7.27,6.99,11.93
01.06.16 10:17:24,1.78,0,7.88,7.89,7.73,7.2,6.41,6.58,7.04,6.87,6.82,6.69,6.63,6.9,No Sensor,7.2,7.06,8.43,6.63,6.79,6.87,6.84,6.62,7.25,6.98,11.95
01.06.16 10:17:39,2.03,0,7.86,7.91,7.75,7.17,6.32,6.57,7.01,6.87,6.8,6.66,6.6,6.85,No Sensor,7.2,7.11,8.43,6.6,6.77,6.87,6.87,6.63,7.27,6.96,11.97
01.06.16 10:17:55,2.3,0,7.88,7.97,7.68,7.19,6.35,6.58,7.01,6.9,6.82,6.66,6.58,6.82,No Sensor,7.2,7.11,8.42,6.62,6.76,6.9,6.84,6.62,7.23,6.93,11.97
01.06.16 10:18:10,2.55,0,7.83,7.99,7.72,7.15,6.37,6.58,6.98,6.84,6.82,6.66,6.58,6.9,No Sensor,7.2,7.04,8.43,6.6,6.82,6.88,6.88,6.58,7.27,6.96,11.99
01.06.16 10:18:25,2.8,0,7.88,7.94,7.76,7.14,6.33,6.57,6.96,6.88,6.76,6.68,6.6,6.85,No Sensor,7.17,7.06,8.42,6.58,6.77,6.82,6.82,6.58,7.25,6.95,12
01.06.16 10:18:40,3.05,0,7.84,7.93,7.76,7.07,6.33,6.52,6.99,6.82,6.77,6.65,6.6,6.87,No Sensor,7.17,7.06,8.47,6.65,6.74,6.88,6.85,6.62,7.25,6.95,12.02
01.06.16 10:18:55,3.3,0,7.89,7.96,7.73,7.07,6.32,6.51,6.99,6.8,6.74,6.62,6.54,6.85,No Sensor,7.17,7.06,8.47,6.63,6.76,6.82,6.84,6.57,7.23,6.87,12.04
01.06.16 10:19:10,3.55,0,7.89,7.91,7.73,7.07,6.32,6.51,6.96,6.82,6.77,6.63,6.54,6.85,No Sensor,7.17,7.03,8.42,6.65,6.73,6.87,6.79,6.54,7.22,6.92,12.04
01.06.16 10:19:25,3.8,0,7.89,7.94,7.72,7.06,6.3,6.52,6.98,6.87,6.76,6.69,6.52,6.82,No Sensor,7.14,7.11,8.47,6.62,6.8,6.85,6.85,6.58,7.17,6.92,12.06
01.06.16 10:19:40,4.05,0,7.84,7.94,7.75,7.03,6.29,6.52,6.98,6.79,6.73,6.63,6.51,6.82,No Sensor,7.15,7.07,8.48,6.65,6.76,6.88,6.84,6.55,7.19,6.87,12.06
01.06.16 10:19:55,4.3,0,7.83,7.93,7.68,7.04,6.24,6.47,6.98,6.82,6.76,6.6,6.47,6.8,No Sensor,7.12,7.03,8.38,6.62,6.66,6.8,6.82,6.51,7.19,6.84,12.09
01.06.16 10:20:21,4.73,0,7.83,8.01,7.7,7.06,6.27,6.47,6.99,6.84,6.77,6.68,6.55,6.8,No Sensor,7.15,7.07,8.42,6.63,6.76,6.87,6.8,6.54,7.25,6.88,12.13
01.06.16 10:20:36,4.98,0,7.88,7.94,7.72,7.09,6.3,6.47,6.99,6.82,6.73,6.69,6.55,6.84,No Sensor,7.14,7.06,8.4,6.66,6.79,6.82,6.79,6.57,7.25,6.85,12.16
01.06.16 10:20:53,5.27,0,7.83,7.93,7.73,7.03,6.29,6.51,6.96,6.8,6.74,6.58,6.51,6.82,No Sensor,7.15,7.09,8.4,6.65,6.77,6.8,6.82,6.52,7.27,6.87,12.15
01.06.16 10:21:11,5.57,0,7.89,7.93,7.72,7.01,6.19,6.51,6.96,6.8,6.74,6.68,6.46,6.8,No Sensor,7.12,7.03,8.35,6.69,6.76,6.8,6.84,6.47,7.19,6.85,12.15
01.06.16 10:21:28,5.85,0,7.89,7.93,7.73,7.04,6.21,6.49,6.96,6.82,6.76,6.62,6.55,6.82,No Sensor,7.14,7.01,8.33,6.68,6.79,6.82,6.84,6.52,7.27,6.85,12.15
01.06.16 10:21:44,6.12,0,7.86,7.93,7.73,6.98,6.26,6.44,6.95,6.79,6.74,6.66,6.51,6.85,No Sensor,7.14,7.03,8.3,6.66,6.74,6.77,6.82,6.47,7.19,6.87,12.15
01.06.16 10:21:59,6.37,0,7.81,7.89,7.72,7.01,6.18,6.46,6.96,6.8,6.74,6.62,6.51,6.82,No Sensor,7.09,7.06,8.27,6.63,6.77,6.79,6.82,6.55,7.23,6.85,12.14
01.06.16 10:22:16,6.65,0,7.88,7.91,7.7,6.99,6.24,6.41,6.95,6.79,6.76,6.66,6.52,6.84,No Sensor,7.12,7.06,8.3,6.68,6.79,6.8,6.82,6.52,7.23,6.85,12.14
01.06.16 10:22:34,6.95,0,7.83,7.86,7.75,6.99,6.18,6.47,6.98,6.77,6.73,6.62,6.49,6.8,No Sensor,7.07,7.04,8.3,6.69,6.74,6.79,6.82,6.55,7.23,6.85,12.15
01.06.16 10:22:49,7.2,0,7.81,7.96,7.76,6.99,6.22,6.44,6.96,6.79,6.71,6.63,6.49,6.79,No Sensor,7.04,7.03,8.33,6.69,6.76,6.84,6.79,6.49,7.25,6.87,12.15
01.06.16 10:23:04,7.45,0,7.84,7.89,7.7,6.99,6.19,6.44,6.95,6.8,6.69,6.68,6.47,6.82,No Sensor,7.06,7.04,8.33,6.69,6.79,6.8,6.82,6.51,7.19,6.87,12.14
01.06.16 10:23:20,7.72,0,7.83,7.93,7.7,7.01,6.22,6.43,6.96,6.79,6.73,6.71,6.49,6.84,No Sensor,7.09,7.03,8.3,6.71,6.8,6.79,6.85,6.52,7.23,6.88,12.15
01.06.16 10:23:36,7.98,0,7.86,7.93,7.7,6.99,6.21,6.41,6.96,6.82,6.69,6.65,6.49,6.79,No Sensor,7.06,6.98,8.3,6.66,6.73,6.76,6.79,6.51,7.22,6.84,12.15
01.06.16 10:23:51,8.23,0,7.88,7.94,7.72,6.96,6.21,6.4,6.92,6.8,6.74,6.69,6.47,6.79,No Sensor,7.06,7.04,8.29,6.69,6.69,6.82,6.79,6.51,7.19,6.88,12.15
01.06.16 10:24:06,8.48,0,7.88,7.91,7.73,6.98,6.21,6.41,6.96,6.79,6.74,6.69,6.49,6.77,No Sensor,7.07,7.04,8.29,6.71,6.77,6.74,6.79,6.52,7.2,6.88,12.15
01.06.16 10:24:21,8.73,0,7.89,7.93,7.72,6.98,6.15,6.43,6.98,6.8,6.71,6.62,6.47,6.79,No Sensor,7.03,6.99,8.24,6.68,6.77,6.74,6.82,6.49,7.22,6.84,12.15
01.06.16 10:24:37,9,0,7.81,7.89,7.68,6.96,6.1,6.37,6.95,6.76,6.71,6.66,6.46,6.79,No Sensor,7.07,6.98,8.24,6.65,6.74,6.74,6.76,6.49,7.19,6.84,12.16
01.06.16 10:24:52,9.25,0,7.86,7.88,7.73,6.92,6.12,6.4,6.98,6.77,6.73,6.6,6.46,6.79,No Sensor,7.03,6.99,8.24,6.65,6.73,6.69,6.8,6.44,7.2,6.82,12.16
01.06.16 10:25:07,9.5,0,7.83,7.84,7.72,6.93,6.1,6.38,6.95,6.76,6.73,6.66,6.47,6.79,No Sensor,7.04,6.98,8.25,6.66,6.79,6.69,6.77,6.49,7.19,6.82,12.16
01.06.16 10:25:24,9.78,0,7.84,7.89,7.65,6.9,6.07,6.37,6.93,6.74,6.71,6.63,6.4,6.71,No Sensor,7.01,6.99,8.24,6.69,6.69,6.66,6.76,6.43,7.2,6.77,12.2
01.06.16 10:25:39,10.03,0,7.86,7.93,7.67,6.88,6.07,6.37,6.95,6.74,6.73,6.66,6.44,6.71,No Sensor,7.01,6.99,8.2,6.71,6.71,6.69,6.74,6.43,7.23,6.79,12.18
01.06.16 10:25:55,10.3,0,7.86,7.89,7.73,6.85,6.05,6.37,6.93,6.71,6.73,6.58,6.43,6.74,No Sensor,7.01,6.96,8.19,6.71,6.73,6.68,6.77,6.43,7.25,6.79,12.18
01.06.16 10:26:11,10.57,0,7.83,7.94,7.68,6.87,6.07,6.35,6.95,6.71,6.73,6.66,6.44,6.77,No Sensor,6.98,6.99,8.22,6.68,6.76,6.73,6.76,6.46,7.22,6.8,12.18
01.06.16 10:26:26,10.82,0,7.84,7.88,7.67,6.8,6.04,6.3,6.92,6.73,6.69,6.65,6.43,6.74,No Sensor,6.98,6.95,8.15,6.69,6.68,6.68,6.76,6.47,7.23,6.76,12.18
01.06.16 10:26:41,11.07,0,7.83,7.89,7.65,6.84,6.01,6.3,6.95,6.74,6.71,6.58,6.44,6.74,No Sensor,6.96,6.98,8.2,6.73,6.73,6.69,6.73,6.41,7.25,6.8,12.18
01.06.16 10:26:57,11.33,0,7.86,7.86,7.63,6.8,5.98,6.29,6.88,6.74,6.66,6.63,6.4,6.69,No Sensor,6.98,6.96,8.17,6.69,6.65,6.69,6.74,6.43,7.17,6.79,12.18
01.06.16 10:27:12,11.58,0,7.83,7.89,7.63,6.82,6.04,6.3,6.95,6.74,6.71,6.62,6.43,6.74,No Sensor,6.96,6.98,8.17,6.71,6.66,6.68,6.68,6.41,7.23,6.76,12.2
01.06.16 10:27:27,11.83,0,7.8,7.89,7.68,6.8,6.05,6.27,6.92,6.76,6.71,6.54,6.41,6.69,No Sensor,6.96,6.96,8.12,6.71,6.69,6.68,6.76,6.43,7.2,6.73,12.2
01.06.16 10:27:42,12.08,0,7.84,7.91,7.67,6.79,5.99,6.3,6.92,6.74,6.69,6.58,6.41,6.74,No Sensor,6.9,6.95,8.12,6.68,6.65,6.71,6.69,6.41,7.25,6.76,12.2
01.06.16 10:27:58,12.35,0,7.81,7.84,7.7,6.77,5.99,6.26,6.92,6.71,6.68,6.57,6.38,6.73,No Sensor,6.95,6.92,8.12,6.69,6.66,6.66,6.68,6.43,7.22,6.77,12.2
01.06.16 10:28:13,12.6,0,7.88,7.88,7.68,6.8,5.98,6.26,6.9,6.73,6.69,6.6,6.41,6.68,No Sensor,6.93,6.95,8.12,6.69,6.65,6.66,6.66,6.43,7.22,6.74,12.22
01.06.16 10:28:28,12.85,0,7.8,7.88,7.65,6.73,5.95,6.24,6.9,6.74,6.63,6.54,6.41,6.68,No Sensor,6.92,6.92,8.12,6.71,6.65,6.66,6.71,6.38,7.19,6.77,12.22
01.06.16 10:28:43,13.1,0,7.83,7.88,7.67,6.76,5.95,6.22,6.92,6.71,6.65,6.6,6.37,6.69,No Sensor,6.92,6.95,8.17,6.71,6.63,6.69,6.68,6.43,7.15,6.74,12.22
