Date,Time_in_min,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,temp_internal
31.05.16 15:24:01,0.03,0,14.26,14.9,14.12,12.98,12.98,12.43,13.03,13.07,13.24,13.17,12.62,13,No Sensor,13.51,12.76,13.34,13.15,13.27,13.15,12.1,12.98,13.05,12.69,22.54
31.05.16 15:24:16,0.28,0,14.31,14.95,14.14,13.07,13.03,12.5,13.12,13.05,13.24,13.27,12.6,13.05,No Sensor,13.53,12.72,13.46,13.19,13.12,13.24,12.17,13.05,13.17,12.69,22.55
31.05.16 15:24:31,0.53,0,14.36,14.9,14.24,13.07,13.05,12.43,13,13.12,13.22,13.15,12.64,13,No Sensor,13.44,12.69,13.41,13.07,13.17,13.12,12.2,13.15,13.1,12.72,22.57
31.05.16 15:24:46,0.78,0,14.29,14.95,14.26,13.05,12.98,12.38,12.98,13.05,13.15,13.36,12.57,13.17,No Sensor,13.51,12.69,13.39,13.07,13.24,13.19,12.2,13.19,13.07,12.72,22.59
31.05.16 15:25:01,1.03,0,14.36,14.93,14.21,12.95,12.98,12.41,13.03,13.05,13.17,13.19,12.64,13.12,No Sensor,13.41,12.67,13.48,13.1,13.17,13.22,12.2,13.15,13.07,12.62,22.61
31.05.16 15:25:16,1.28,0,14.36,14.88,14.24,12.95,12.91,12.46,12.98,13.03,13.15,13.36,12.57,13.07,No Sensor,13.41,12.64,13.48,13.12,13.03,13.07,12.1,13.1,13,12.62,22.61
31.05.16 15:25:31,1.53,0,14.34,14.9,14.14,13.03,12.93,12.46,12.98,13.05,13.17,13.36,12.57,13.15,No Sensor,13.39,12.53,13.44,13.15,12.91,13.05,12.08,13.05,13.1,12.69,22.64
31.05.16 15:25:46,1.78,0,14.34,14.98,14.21,12.98,12.91,12.43,12.95,13.03,13.15,13.31,12.62,13.05,No Sensor,13.36,12.55,13.36,13,12.93,12.98,12.08,13.12,12.98,12.76,22.64
31.05.16 15:26:01,2.03,0,14.41,14.93,14.14,12.98,12.86,12.43,12.95,13.05,13.12,13.24,12.6,13.19,No Sensor,13.36,12.53,13.34,13.1,12.88,13.07,12.05,13.1,13.03,12.81,22.66
31.05.16 15:26:16,2.28,0,14.43,14.95,14.19,13,12.91,12.38,12.95,13.05,13.1,13.24,12.64,13.17,No Sensor,13.36,12.5,13.36,13,13.03,13.12,12.1,13.15,12.98,12.76,22.68
31.05.16 15:26:31,2.53,0,14.39,14.98,14.14,13,12.86,12.41,12.93,13.07,13.1,13.27,12.69,13.17,No Sensor,13.29,12.53,13.48,13.05,12.91,13.1,12.15,13.15,13,12.57,22.68
31.05.16 15:26:46,2.78,0,14.43,14.95,14.24,13,12.86,12.41,12.91,13.03,13.1,13.34,12.62,13.31,No Sensor,13.41,12.5,13.41,13.03,12.95,13.17,12.15,13.1,12.88,12.79,22.68
31.05.16 15:27:01,3.03,0,14.36,14.93,14.14,12.98,12.79,12.36,12.91,13,13.03,13.44,12.55,13.24,No Sensor,13.36,12.5,13.39,13,12.88,13.07,12.12,13.03,12.93,12.72,22.71
31.05.16 15:27:16,3.28,0,14.41,14.98,14.16,13,12.84,12.41,12.88,13,13.03,13.34,12.57,13.24,No Sensor,13.36,12.53,13.34,13.12,12.88,12.95,12.1,13.1,13,12.64,22.73
31.05.16 15:27:31,3.53,0,14.36,15.03,14.19,12.93,12.91,12.36,12.88,12.98,12.98,13.34,12.62,13.31,No Sensor,13.41,12.36,13.48,13.15,12.91,13.1,12.12,12.98,12.98,12.76,22.73
31.05.16 15:27:47,3.8,0,14.41,15.03,14.12,12.95,12.84,12.38,12.91,13,12.98,13.53,12.55,13.29,No Sensor,13.44,12.43,13.34,13.1,12.98,13.07,12.01,12.98,12.95,12.62,22.75
31.05.16 15:28:02,4.05,0,14.36,14.95,14.19,12.95,12.86,12.41,12.86,12.98,12.98,13.44,12.57,13.24,No Sensor,13.22,12.34,13.34,13.05,13.1,12.98,12.03,13.07,12.81,12.64,22.77
31.05.16 15:28:17,4.3,0,14.41,15,14.26,12.98,12.86,12.38,12.84,12.95,12.98,13.46,12.62,13.27,No Sensor,13.31,12.31,13.31,12.95,13.1,13.03,12.03,13.07,12.95,12.74,22.78
31.05.16 15:28:36,4.62,0,14.46,14.95,14.29,12.98,12.86,12.36,12.81,12.95,13.05,13.44,12.6,13.44,No Sensor,13.27,12.22,13.31,13.05,12.91,13,12.15,13,12.91,12.67,22.78
31.05.16 15:28:51,4.87,0,14.36,15,14.26,12.91,12.84,12.34,12.76,12.88,12.98,13.46,12.6,13.36,No Sensor,13.24,12.17,13.39,13,12.88,12.86,11.96,13.05,12.72,12.69,22.8
