Date,Time_in_min,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,temp_internal
26.05.16 12:27:11,0.03,53.08,53.07,53.07,53.15,53.09,53.11,46.89,46.95,46.92,46.96,46.84,46.73,53.19,44.32,52.95,52.82,53,53.11,46.42,46.66,46.98,47.22,46.77,46.75,16.81
26.05.16 12:27:26,0.28,53.07,53.04,53.06,53.13,53.06,53.08,46.87,46.89,46.9,46.95,46.81,46.71,53.15,60.73,52.9,52.82,52.98,53.09,46.4,46.6,46.91,47.18,46.77,46.74,16.89
26.05.16 12:27:41,0.53,53.06,53.04,53.04,53.13,53.05,53.1,46.86,46.9,46.88,46.93,46.83,46.67,53.18,70.75,52.89,52.78,52.98,53.07,46.44,46.58,46.9,47.19,46.77,46.73,16.93
26.05.16 12:27:56,0.78,53.04,53.05,53.03,53.13,53.04,53.09,46.85,46.88,46.91,46.92,46.8,46.67,53.16,-13.24,52.89,52.78,52.97,53.08,46.38,46.59,46.92,47.19,46.79,46.74,17
26.05.16 12:28:11,1.03,53.07,53.05,53.06,53.13,53.07,53.1,46.86,46.87,46.89,46.91,46.85,46.67,53.19,60.48,52.89,52.8,53,53.07,46.41,46.58,46.89,47.16,46.79,46.75,17.07
26.05.16 12:28:26,1.28,53.07,53.04,53.07,53.13,53.06,53.1,46.85,46.88,46.89,46.91,46.78,46.65,53.15,57.2,52.88,52.79,52.99,53.09,46.37,46.6,46.88,47.21,46.76,46.71,17.13
26.05.16 12:28:41,1.53,53.05,53.04,53.05,53.13,53.03,53.08,46.83,46.87,46.87,46.91,46.78,46.66,53.17,70.95,52.9,52.78,52.97,53.06,46.38,46.58,46.89,47.16,46.77,46.72,17.18
26.05.16 12:28:56,1.78,53.07,53.04,53.05,53.14,53.05,53.08,46.84,46.88,46.9,46.92,46.87,46.66,53.17,75.49,52.93,52.8,52.97,53.06,46.39,46.59,46.89,47.18,46.73,46.7,17.25
26.05.16 12:29:11,2.03,53.06,53.04,53.05,53.15,53.06,53.1,46.86,46.87,46.88,46.91,46.9,46.65,53.16,54.53,52.91,52.83,52.98,53.11,46.37,46.61,46.89,47.17,46.78,46.71,17.29
26.05.16 12:29:26,2.28,53.04,53.05,53.05,53.14,53.04,53.08,46.83,46.87,46.87,46.92,46.79,46.65,53.17,56.01,52.88,52.8,52.98,53.07,46.38,46.59,46.87,47.17,46.73,46.7,17.34
26.05.16 12:29:41,2.53,53.06,53.02,53.04,53.14,53.06,53.09,46.82,46.86,46.87,46.92,46.8,46.64,53.15,25.55,52.94,52.79,52.97,53.08,46.36,46.54,46.86,47.16,46.76,46.73,17.39
26.05.16 12:29:56,2.78,53.06,53.04,53.04,53.13,53.05,53.09,46.82,46.85,46.87,46.89,46.82,46.66,53.19,56.86,52.9,52.82,52.96,53.09,46.41,46.58,46.85,47.17,46.75,46.72,17.43
26.05.16 12:30:11,3.03,53.08,53.04,53.06,53.14,53.04,53.09,46.82,46.87,46.88,46.91,46.82,46.67,53.15,55.73,52.88,52.78,52.97,53.11,46.38,46.54,46.89,47.2,46.75,46.68,17.48
26.05.16 12:30:26,3.28,53.07,53.03,53.05,53.13,53.04,53.09,46.82,46.87,46.86,46.9,46.81,46.65,53.17,55.72,52.87,52.82,52.97,53.08,46.39,46.55,46.9,47.18,46.75,46.73,17.54
26.05.16 12:30:41,3.53,53.06,53.02,53.05,53.12,53.06,53.08,46.82,46.86,46.88,46.92,46.82,46.65,53.14,51.77,52.92,52.79,52.97,53.08,46.37,46.56,46.84,47.16,46.73,46.68,17.59
