List File,35-APRIL8-R1.lst
Start Time,2016-04-08  09:20:36
Sampling Time,1 min 56 sec

Count,971
Particles / ml,20641

Efficiency,16.3%
PPUI,1.49

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),141.87,19.60,769.16,166.92,117.66
Aspect Ratio,0.72,0.05,0.98,0.19,26.15
Circle Fit,0.57,0.00,0.95,0.25,44.20
Circularity (Hu),0.80,0.08,1.00,0.18,22.27
Compactness,2.89,1.00,16.70,2.00,69.08
Diameter (ABD),11.67,5.00,31.29,6.67,57.19
Diameter (ESD),15.41,5.42,93.02,10.00,64.87
Elongation,6.81,1.00,50.45,6.43,94.41
Geodesic Aspect Ratio,0.36,0.02,1.00,0.34,94.76
Geodesic Length,33.57,5.97,198.34,29.42,87.65
Geodesic Thickness,5.93,1.37,13.13,2.40,40.55
Intensity,141.14,101.58,181.68,17.36,12.30
Length,18.49,5.97,144.04,13.17,71.25
Perimeter,78.99,23.88,405.45,58.83,74.48
Roughness,1.44,1.03,3.10,0.34,23.24
Sigma Intensity,27.59,4.99,52.77,10.58,38.33
Sum Intensity,84614.72,17256.00,4.52e+005,80173.27,94.75
Transparency,0.21,0.03,0.72,0.11,51.03
Volume (ABD),1830.25,65.29,16046.72,3112.37,170.05
Width,11.61,2.93,38.00,6.83,58.78

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,16,1.65,0.07,340,0.03
6-7um,77,7.93,0.43,1637,0.15
7-8um,98,10.09,0.79,2083,0.28
8-9um,109,11.23,1.16,2317,0.41
0-5um,0,0.00,0.00,0.00,0.00
5-10um,385,39.65,3.79,8184,1.35
10-15um,210,21.63,5.59,4464,1.99
15-20um,78,8.03,5.35,1658,1.91
20-25um,73,7.52,11.04,1552,3.94
25-30um,76,7.83,21.70,1616,7.74
30-35um,47,4.84,20.89,999,7.45
35-40um,29,2.99,19.49,616,6.95
40-45um,11,1.13,7.38,234,2.63
45-50um,4,0.41,2.88,85,1.03
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,1,0.10,0.65,21,0.23
75-80um,1,0.10,0.33,21,0.12
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,1,0.10,0.89,21,0.32
95-100um,0,0.00,0.00,0.00,0.00
9-10um,83,8.55,1.32,1764,0.47
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

