List File,59-APRIL8-R2.lst
Start Time,2016-04-08  15:15:10
Sampling Time,3 sec

Count,186
Particles / ml,130106

Efficiency,16.0%
PPUI,4.43

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),48.12,19.60,116.70,22.17,46.08
Aspect Ratio,0.83,0.55,0.99,0.10,12.37
Circle Fit,0.80,0.56,0.95,0.08,10.56
Circularity (Hu),0.94,0.47,1.00,0.07,7.26
Compactness,1.40,1.00,4.44,0.38,27.22
Diameter (ABD),7.64,5.00,12.19,1.71,22.32
Diameter (ESD),8.75,5.69,14.08,1.82,20.76
Elongation,1.89,1.00,11.85,1.28,67.69
Geodesic Aspect Ratio,0.67,0.08,1.00,0.28,41.20
Geodesic Length,11.92,6.36,23.96,4.29,35.97
Geodesic Thickness,7.00,1.93,11.94,1.48,21.18
Intensity,147.09,106.30,172.85,16.82,11.43
Length,9.90,6.27,15.51,2.15,21.74
Perimeter,37.85,25.44,59.91,8.01,21.17
Roughness,1.18,1.04,1.72,0.14,12.24
Sigma Intensity,24.08,2.54,49.14,17.46,72.52
Sum Intensity,40123.63,18586.00,86925.00,15223.07,37.94
Transparency,0.13,0.03,0.33,0.05,42.90
Volume (ABD),270.04,65.29,948.38,191.28,70.83
Width,7.43,4.67,11.49,1.76,23.66

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,4,2.15,0.61,2798,0.21
6-7um,24,12.90,5.27,16788,1.85
7-8um,42,22.58,11.68,29379,4.10
8-9um,55,29.57,23.44,38472,8.23
0-5um,0,0.00,0.00,0.00,0.00
5-10um,143,76.88,50.21,100028,18
10-15um,43,23.12,49.79,30078,17
15-20um,0,0.00,0.00,0.00,0.00
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,17,9.14,8.90,11891,3.13
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

