List File,FULL-16-1-MARCH29.lst
Start Time,2016-03-29  13:27:41
Sampling Time,1 min 50 sec

Count,286
Particles / ml,6365

Efficiency,16.4%
PPUI,1.10

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),89.24,19.60,371.86,47.04,52.71
Aspect Ratio,0.83,0.34,0.99,0.12,14.82
Circle Fit,0.74,0.19,0.95,0.14,19.13
Circularity (Hu),0.92,0.18,1.00,0.11,11.60
Compactness,1.80,1.00,6.72,0.84,46.57
Diameter (ABD),10.30,5.00,21.76,2.75,26.73
Diameter (ESD),11.93,5.47,26.63,3.14,26.34
Elongation,3.23,1.00,19.05,2.77,85.60
Geodesic Aspect Ratio,0.47,0.05,1.00,0.28,59.96
Geodesic Length,19.47,6.05,65.62,9.00,46.25
Geodesic Thickness,7.33,1.57,14.12,2.34,31.90
Intensity,129.12,88.21,184.19,16.48,12.77
Length,13.35,5.92,33.02,3.80,28.49
Perimeter,53.58,24.20,138.12,16.90,31.53
Roughness,1.28,1.04,2.20,0.18,14.09
Sigma Intensity,38.95,3.05,50.00,7.48,19.21
Sum Intensity,56640.44,17004.00,2.01e+005,25706.93,45.39
Transparency,0.14,0.03,0.61,0.07,51.81
Volume (ABD),697.08,65.29,5394.35,574.41,82.40
Width,10.18,4.31,17.79,2.56,25.12

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,3,1.05,0.12,67,0.01
6-7um,13,4.55,0.62,289,0.03
7-8um,15,5.24,0.91,334,0.04
8-9um,15,5.24,1.46,334,0.06
0-5um,0,0.00,0.00,0.00,0.00
5-10um,67,23.43,6.30,1491,0.28
10-15um,176,61.54,59.48,3917,2.64
15-20um,36,12.59,26.27,801,1.17
20-25um,4,1.40,4.94,89,0.22
25-30um,1,0.35,2.71,22,0.12
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,20,6.99,3.13,445,0.14
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

