List File,FULL-24-2-MARCH29-R2.lst
Start Time,2016-03-29  11:05:07
Sampling Time,1 min 44 sec

Count,156
Particles / ml,36430

Efficiency,16.4%
PPUI,1.05

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),45.68,20.01,176.59,27.49,60.18
Aspect Ratio,0.83,0.40,0.99,0.12,14.07
Circle Fit,0.77,0.37,0.94,0.12,15.58
Circularity (Hu),0.92,0.53,1.00,0.08,9.01
Compactness,1.57,1.00,4.54,0.61,38.57
Diameter (ABD),7.38,5.05,14.99,1.94,26.30
Diameter (ESD),8.64,5.36,17.84,2.35,27.19
Elongation,2.47,1.00,12.19,2.04,82.69
Geodesic Aspect Ratio,0.61,0.08,1.00,0.31,51.19
Geodesic Length,13.00,5.89,41.06,6.27,48.24
Geodesic Thickness,6.38,2.19,12.61,1.83,28.75
Intensity,135.40,101.16,175.46,13.40,9.89
Length,9.79,5.58,21.78,2.92,29.79
Perimeter,38.76,23.55,91.15,11.45,29.54
Roughness,1.20,1.03,1.91,0.16,13.64
Sigma Intensity,35.13,6.61,48.97,9.31,26.50
Sum Intensity,35125.17,17385.00,1.09e+005,15622.26,44.48
Transparency,0.14,0.04,0.39,0.07,50.83
Volume (ABD),259.57,67.34,1765.29,268.79,103.55
Width,7.25,4.08,13.52,1.84,25.32

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,6,3.85,1.15,1401,0.11
6-7um,25,16.03,6.10,5838,0.58
7-8um,47,30.13,16.68,10976,1.58
8-9um,32,20.51,16.39,7473,1.55
0-5um,0,0.00,0.00,0.00,0.00
5-10um,128,82.05,52.40,29891,4.96
10-15um,24,15.38,33.34,5605,3.15
15-20um,4,2.56,14.26,934,1.35
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,17,10.90,11.72,3970,1.11
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

