List File,FULL-12-1-MARCH30-R1.lst
Start Time,2016-03-30  15:45:29
Sampling Time,1 min 31 sec

Count,170
Particles / ml,4556

Efficiency,16.4%
PPUI,1.14

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),100.54,19.81,501.10,56.08,55.78
Aspect Ratio,0.86,0.35,1.00,0.13,15.51
Circle Fit,0.82,0.00,0.95,0.17,20.42
Circularity (Hu),0.96,0.47,1.00,0.09,9.00
Compactness,1.31,1.02,7.67,0.65,49.94
Diameter (ABD),10.97,5.02,25.26,2.76,25.16
Diameter (ESD),12.16,5.66,28.58,3.48,28.63
Elongation,1.61,1.00,22.04,2.12,131.40
Geodesic Aspect Ratio,0.86,0.05,1.00,0.26,30.52
Geodesic Length,14.08,6.21,81.25,8.81,62.56
Geodesic Thickness,10.35,2.78,14.98,2.35,22.73
Intensity,119.04,85.86,180.07,13.83,11.62
Length,13.49,6.03,34.01,4.60,34.09
Perimeter,48.86,24.85,169.87,16.93,34.66
Roughness,1.21,1.04,2.08,0.17,13.88
Sigma Intensity,22.52,4.29,45.69,10.51,46.66
Sum Intensity,57307.26,18596.00,1.91e+005,24877.28,43.41
Transparency,0.09,0.03,0.35,0.06,62.34
Volume (ABD),835.30,66.31,8438.33,841.83,100.78
Width,10.53,4.20,22.97,2.28,21.68

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,3,1.76,0.15,80,0.01
6-7um,3,1.76,0.17,80,0.01
7-8um,3,1.76,0.32,80,0.01
8-9um,5,2.94,0.94,134,0.04
0-5um,0,0.00,0.00,0.00,0.00
5-10um,36,21.18,6.84,965,0.26
10-15um,114,67.06,59.77,3055,2.27
15-20um,13,7.65,15.89,348,0.60
20-25um,5,2.94,9.04,134,0.34
25-30um,2,1.18,8.47,54,0.32
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,22,12.94,5.26,590,0.20
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

