List File,DEF-16-6-MARCH29.lst
Start Time,2016-03-29  14:04:10
Sampling Time,2 min 8 sec

Count,273
Particles / ml,5195

Efficiency,16.3%
PPUI,1.15

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),81.33,20.42,448.69,48.00,59.02
Aspect Ratio,0.87,0.34,1.00,0.11,12.94
Circle Fit,0.78,0.00,0.95,0.14,18.14
Circularity (Hu),0.94,0.13,1.00,0.11,11.78
Compactness,1.73,1.00,10.65,1.05,60.55
Diameter (ABD),9.84,5.10,23.90,2.60,26.43
Diameter (ESD),11.36,5.47,28.19,3.21,28.26
Elongation,3.03,1.00,31.44,3.40,112.31
Geodesic Aspect Ratio,0.54,0.03,1.00,0.31,57.08
Geodesic Length,17.98,6.05,88.01,9.82,54.64
Geodesic Thickness,7.40,1.50,13.35,2.14,28.94
Intensity,127.38,85.43,188.27,15.63,12.27
Length,12.58,5.76,33.84,3.89,30.94
Perimeter,50.75,24.20,187.55,18.28,36.02
Roughness,1.28,1.04,2.52,0.22,17.05
Sigma Intensity,37.61,3.06,52.79,9.03,24.02
Sum Intensity,52205.71,16991.00,1.88e+005,24779.04,47.46
Transparency,0.13,0.03,0.64,0.07,58.75
Volume (ABD),613.72,69.42,7149.69,670.00,109.17
Width,9.91,3.76,24.39,2.59,26.11

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,6,2.20,0.28,114,0.01
6-7um,11,4.03,0.61,209,0.02
7-8um,14,5.13,1.24,266,0.04
8-9um,24,8.79,3.26,457,0.10
0-5um,0,0.00,0.00,0.00,0.00
5-10um,83,30.40,11.00,1579,0.35
10-15um,160,58.61,57.22,3045,1.82
15-20um,24,8.79,18.12,457,0.58
20-25um,4,1.47,5.74,76,0.18
25-30um,2,0.73,7.93,38,0.25
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,28,10.26,5.61,533,0.18
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

