List File,FULL-24-3-MARCH29.lst
Start Time,2016-03-29  11:11:25
Sampling Time,2 min 24 sec

Count,605
Particles / ml,102874

Efficiency,16.4%
PPUI,1.19

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),55.59,19.60,391.90,33.15,59.63
Aspect Ratio,0.85,0.43,1.00,0.10,11.59
Circle Fit,0.79,0.00,0.94,0.12,14.76
Circularity (Hu),0.94,0.34,1.00,0.07,6.91
Compactness,1.51,1.00,9.61,0.58,38.09
Diameter (ABD),8.13,5.00,22.34,2.16,26.55
Diameter (ESD),9.32,5.35,39.10,2.74,29.39
Elongation,2.30,1.00,28.16,1.90,82.86
Geodesic Aspect Ratio,0.61,0.04,1.00,0.30,48.98
Geodesic Length,13.84,5.86,120.31,7.67,55.42
Geodesic Thickness,6.82,2.40,12.34,1.75,25.60
Intensity,132.16,97.02,173.64,13.14,9.94
Length,10.43,5.92,50.01,3.35,32.09
Perimeter,41.32,23.42,249.16,14.70,35.56
Roughness,1.20,1.04,2.16,0.15,12.09
Sigma Intensity,37.62,4.61,51.06,7.89,20.98
Sum Intensity,39698.16,16541.00,2.08e+005,17901.48,45.09
Transparency,0.12,0.03,0.43,0.05,42.23
Volume (ABD),347.97,65.29,5836.06,374.62,107.66
Width,7.99,4.14,26.80,2.13,26.67

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,13,2.15,0.52,2211,0.18
6-7um,79,13.06,4.05,13433,1.45
7-8um,133,21.98,9.72,22615,3.48
8-9um,103,17.02,10.09,17514,3.61
0-5um,0,0.00,0.00,0.00,0.00
5-10um,404,66.78,34.97,68696,13
10-15um,182,30.08,50.23,30947,18
15-20um,17,2.81,10.87,2891,3.89
20-25um,1,0.17,1.15,170,0.41
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,1,0.17,2.77,170,0.99
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,70,11.57,10.03,11903,3.59
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

